DATE,PRCP,TMAX,TMIN,TOBS
4/1/2013,0.2,58,39,47
4/2/2013,0,65,28,40
4/3/2013,0,47,29,39
4/4/2013,0,49,27,40
4/5/2013,0,56,37,40
4/6/2013,0,65,34,38
4/7/2013,0,55,35,40
4/8/2013,0,63,37,56
4/9/2013,0,77,52,70
4/10/2013,0,85,59,64
4/11/2013,0.59,83,55,60
4/12/2013,0.06,60,40,42
4/13/2013,0.97,51,40,51
4/14/2013,0,61,41,52
4/15/2013,0,60,43,47
4/16/2013,0,57,45,57
4/17/2013,0,71,56,58
4/18/2013,0,74,44,54
4/19/2013,0,67,53,66
4/20/2013,0.2,78,47,50
4/21/2013,0,60,34,42
4/22/2013,0,54,25,46
4/23/2013,0,50,24,44
4/24/2013,0,54,37,54
4/25/2013,0,75,46,52
4/26/2013,0,65,39,56
4/27/2013,0,66,35,56
4/28/2013,0,69,41,58
4/29/2013,0.03,72,51,54
4/30/2013,0.08,58,49,52
5/1/2013,0,65,40,56
5/2/2013,0,65,39,56
5/3/2013,0,68,46,55
5/4/2013,0,61,32,52
5/5/2013,0,65,38,48
5/6/2013,0,59,41,52
5/7/2013,0,63,35,58
5/8/2013,0.56,67,55,58
5/9/2013,0.9,68,53,56
5/10/2013,0,71,52,68
5/11/2013,0.15,81,62,68
5/12/2013,0.15,78,56,56
5/13/2013,0,70,40,54
5/14/2013,0,60,35,52
5/15/2013,0,61,44,60
5/16/2013,0,75,56,64
5/17/2013,0,80,51,64
5/18/2013,0,74,50,56
5/19/2013,0.12,67,52,58
5/20/2013,0.15,64,54,62
5/21/2013,0,80,60,70
5/22/2013,0,87,66,70
5/23/2013,0.03,85,65,72
5/24/2013,0.38,84,61,64
5/25/2013,0.36,68,42,48
5/26/2013,0,59,45,58
5/27/2013,0,69,41,62
5/28/2013,0,74,50,68
5/29/2013,0.27,69,57,62
5/30/2013,0,88,49,80
5/31/2013,0,92,66,82
6/1/2013,0,94,67,86
6/2/2013,0,92,71,78
6/3/2013,0.66,90,66,70
6/4/2013,0.38,80,55,68
6/5/2013,0,74,48,66
6/6/2013,0,72,50,62
6/7/2013,0.37,74,59,63
6/8/2013,2.7,69,56,68
6/9/2013,0,77,58,70
6/10/2013,0,82,64,68
6/11/2013,1,74,64,72
6/12/2013,0,82,66,72
6/13/2013,0,80,61,66
6/14/2013,1.15,73,53,56
6/15/2013,0,70,54,66
6/16/2013,0,80,57,63
6/17/2013,0,85,60,76
6/18/2013,0,87,63,76
6/19/2013,0.45,80,66,68
6/20/2013,0,76,54,70
6/21/2013,0,81,54,74
6/22/2013,0,83,52,76
6/23/2013,0,84,62,80
6/24/2013,0.14,90,71,82
6/25/2013,0,92,66,82
6/26/2013,0,92,78,80
6/27/2013,0.31,90,70,80
6/28/2013,0.16,88,71,80
6/29/2013,0.03,86,66,70
6/30/2013,0,87,65,75
7/1/2013,0,87,68,76
4/2/2014,0,60,37,43
4/3/2014,0.05,55,41,50
4/4/2014,0.21,66,40,42
4/5/2014,0.06,45,38,42
