datetime,Temp_C
4/1/2013 0:00,9.4
4/1/2013 0:15,
4/1/2013 0:30,9.4
4/1/2013 0:45,
4/1/2013 1:00,9.4
4/1/2013 1:15,
4/1/2013 1:30,9.4
4/1/2013 1:45,
4/1/2013 2:00,9.4
4/1/2013 2:15,
4/1/2013 2:30,9.4
4/1/2013 2:45,
4/1/2013 3:00,9.3
4/1/2013 3:15,
4/1/2013 3:30,9.3
4/1/2013 3:45,
4/1/2013 4:00,9.3
4/1/2013 4:15,
4/1/2013 4:30,9.3
4/1/2013 4:45,
4/1/2013 5:00,9.3
4/1/2013 5:15,
4/1/2013 5:30,9.3
4/1/2013 5:45,
4/1/2013 6:00,9.3
4/1/2013 6:15,
4/1/2013 6:30,9.2
4/1/2013 6:45,
4/1/2013 7:00,9.2
4/1/2013 7:15,
4/1/2013 7:30,9.2
4/1/2013 7:45,
4/1/2013 8:00,9.1
4/1/2013 8:15,
4/1/2013 8:30,9.1
4/1/2013 8:45,
4/1/2013 9:00,9.1
4/1/2013 9:15,
4/1/2013 9:30,9.2
4/1/2013 9:45,
4/1/2013 10:00,9.3
4/1/2013 10:15,
4/1/2013 10:30,9.4
4/1/2013 10:45,
4/1/2013 11:00,9.5
4/1/2013 11:15,
4/1/2013 11:30,9.7
4/1/2013 11:45,
4/1/2013 12:00,9.8
4/1/2013 12:15,
4/1/2013 12:30,10
4/1/2013 12:45,
4/1/2013 13:00,10.2
4/1/2013 13:15,
4/1/2013 13:30,10.5
4/1/2013 13:45,
4/1/2013 14:00,10.6
4/1/2013 14:15,
4/1/2013 14:30,10.7
4/1/2013 14:45,
4/1/2013 15:00,10.9
4/1/2013 15:15,
4/1/2013 15:30,11
4/1/2013 15:45,
4/1/2013 16:00,11.1
4/1/2013 16:15,
4/1/2013 16:30,11.2
4/1/2013 16:45,
4/1/2013 17:00,11.2
4/1/2013 17:15,
4/1/2013 17:30,11.3
4/1/2013 17:45,
4/1/2013 18:00,11.3
4/1/2013 18:15,
4/1/2013 18:30,11.3
4/1/2013 18:45,
4/1/2013 19:00,11.3
4/1/2013 19:15,
4/1/2013 19:30,11.2
4/1/2013 19:45,
4/1/2013 20:00,11.2
4/1/2013 20:15,
4/1/2013 20:30,11.2
4/1/2013 20:45,
4/1/2013 21:00,11.2
4/1/2013 21:15,
4/1/2013 21:30,11.1
4/1/2013 21:45,
4/1/2013 22:00,10.9
4/1/2013 22:15,
4/1/2013 22:30,10.8
4/1/2013 22:45,
4/1/2013 23:00,10.7
4/1/2013 23:15,
4/1/2013 23:30,10.6
4/1/2013 23:45,
4/2/2013 0:00,10.5
4/2/2013 0:15,
4/2/2013 0:30,10.4
4/2/2013 0:45,
4/2/2013 1:00,10.3
4/2/2013 1:15,
4/2/2013 1:30,10.2
4/2/2013 1:45,
4/2/2013 2:00,10.2
