"","Date","avgFlow","Year","date_x"
"1",2013-04-01,75.6916666666667,"2013",2020-04-01
"2",2013-04-02,69.2739583333333,"2013",2020-04-02
"3",2013-04-03,61.890625,"2013",2020-04-03
"4",2013-04-04,55.3510416666667,"2013",2020-04-04
"5",2013-04-05,56.28125,"2013",2020-04-05
"6",2013-04-06,53.9833333333333,"2013",2020-04-06
"7",2013-04-07,52.1791666666667,"2013",2020-04-07
"8",2013-04-08,51.1625,"2013",2020-04-08
"9",2013-04-09,51.2416666666667,"2013",2020-04-09
"10",2013-04-10,50.225,"2013",2020-04-10
"11",2013-04-11,60.2625,"2013",2020-04-11
"12",2013-04-12,NA,"2013",2020-04-12
"13",2013-04-15,NA,"2013",2020-04-15
"14",2013-04-16,76.9032608695652,"2013",2020-04-16
"15",2013-04-17,64.090625,"2013",2020-04-17
"16",2013-04-18,57.0583333333333,"2013",2020-04-18
"17",2013-04-19,54.85625,"2013",2020-04-19
"18",2013-04-20,63.1271739130435,"2013",2020-04-20
"19",2013-04-21,59.5010416666667,"2013",2020-04-21
"20",2013-04-22,54.228125,"2013",2020-04-22
"21",2013-04-23,51.4791666666667,"2013",2020-04-23
"22",2013-04-24,50.2625,"2013",2020-04-24
"23",2013-04-25,49.4666666666667,"2013",2020-04-25
"24",2013-04-26,47.6114583333333,"2013",2020-04-26
"25",2013-04-27,45.859375,"2013",2020-04-27
"26",2013-04-28,44.7489583333333,"2013",2020-04-28
"27",2013-04-29,45.978125,"2013",2020-04-29
"28",2013-04-30,46.9291666666667,"2013",2020-04-30
"29",2013-05-01,46.340625,"2013",2020-05-01
"30",2013-05-02,44.9,"2013",2020-05-02
"31",2013-05-03,43.3927083333333,"2013",2020-05-03
"32",2013-05-04,42.5510416666667,"2013",2020-05-04
"33",2013-05-05,41.7416666666667,"2013",2020-05-05
"34",2013-05-06,41.5864583333333,"2013",2020-05-06
"35",2013-05-07,41.75625,"2013",2020-05-07
"36",2013-05-08,49.4552083333333,"2013",2020-05-08
"37",2013-05-09,63.4333333333333,"2013",2020-05-09
"38",2013-05-10,75.834375,"2013",2020-05-10
"39",2013-05-11,74.6079545454545,"2013",2020-05-11
"40",2013-05-12,NA,"2013",2020-05-12
"41",2013-05-13,NA,"2013",2020-05-13
"42",2013-05-14,70.5739583333333,"2013",2020-05-14
"43",2013-05-15,53.5427083333333,"2013",2020-05-15
"44",2013-05-16,48.7,"2013",2020-05-16
"45",2013-05-17,45.55625,"2013",2020-05-17
"46",2013-05-18,42.615625,"2013",2020-05-18
"47",2013-05-19,49.853125,"2013",2020-05-19
"48",2013-05-20,55.0364583333333,"2013",2020-05-20
"49",2013-05-21,52.1583333333333,"2013",2020-05-21
"50",2013-05-22,NA,"2013",2020-05-22
"51",2013-05-23,NA,"2013",2020-05-23
"52",2013-05-24,NA,"2013",2020-05-24
"53",2013-05-25,62.84375,"2013",2020-05-25
"54",2013-05-26,57.8635416666667,"2013",2020-05-26
"55",2013-05-27,49.7583333333333,"2013",2020-05-27
"56",2013-05-28,47.9927083333333,"2013",2020-05-28
"57",2013-05-29,51.875,"2013",2020-05-29
"58",2013-05-30,50.346875,"2013",2020-05-30
"59",2013-05-31,44.1270833333333,"2013",2020-05-31
"60",2013-06-01,39.4145833333333,"2013",2020-06-01
"61",2013-06-02,38.340625,"2013",2020-06-02
"62",2013-06-03,58.603125,"2013",2020-06-03
"63",2013-06-04,51.9083333333333,"2013",2020-06-04
"64",2013-06-05,40.8802083333333,"2013",2020-06-05
"65",2013-06-06,38.9927083333333,"2013",2020-06-06
"66",2013-06-07,NA,"2013",2020-06-07
"67",2013-06-08,NA,"2013",2020-06-08
"68",2013-06-09,NA,"2013",2020-06-09
"69",2013-06-10,NA,"2013",2020-06-10
"70",2013-06-11,253.28125,"2013",2020-06-11
"71",2013-06-12,164.770833333333,"2013",2020-06-12
"72",2013-06-13,147,"2013",2020-06-13
"73",2013-06-14,141.375,"2013",2020-06-14
"74",2013-06-15,114.28125,"2013",2020-06-15
"75",2013-06-16,98.953125,"2013",2020-06-16
"76",2013-06-17,76.54375,"2013",2020-06-17
"77",2013-06-18,73.503125,"2013",2020-06-18
"78",2013-06-19,116.614583333333,"2013",2020-06-19
"79",2013-06-20,122.208333333333,"2013",2020-06-20
"80",2013-06-21,104.707291666667,"2013",2020-06-21
"81",2013-06-22,73.5354166666667,"2013",2020-06-22
"82",2013-06-23,56.3854166666667,"2013",2020-06-23
"83",2013-06-24,69.79375,"2013",2020-06-24
"84",2013-06-25,81.3479166666667,"2013",2020-06-25
"85",2013-06-26,73.5635416666667,"2013",2020-06-26
"86",2013-06-27,62.9114583333333,"2013",2020-06-27
"87",2013-06-28,55.9447916666667,"2013",2020-06-28
"88",2013-06-29,52.4135416666667,"2013",2020-06-29
"89",2013-06-30,50.796875,"2013",2020-06-30
"90",2013-07-01,49.1572916666667,"2013",2020-07-01
"91",2014-04-01,182.229166666667,"2014",2020-04-01
"92",2014-04-02,126.697916666667,"2014",2020-04-02
"93",2014-04-03,97.996875,"2014",2020-04-03
"94",2014-04-04,83.3229166666667,"2014",2020-04-04
"95",2014-04-05,70.9145833333333,"2014",2020-04-05
"96",2014-04-06,61.1239583333333,"2014",2020-04-06
"97",2014-04-07,57.9427083333333,"2014",2020-04-07
"98",2014-04-08,74.5541666666667,"2014",2020-04-08
"99",2014-04-09,76.215625,"2014",2020-04-09
"100",2014-04-10,70.2864583333333,"2014",2020-04-10
"101",2014-04-11,61.9010416666667,"2014",2020-04-11
"102",2014-04-12,53.0979166666667,"2014",2020-04-12
"103",2014-04-13,49.0541666666667,"2014",2020-04-13
"104",2014-04-14,46.6895833333333,"2014",2020-04-14
"105",2014-04-15,55.8447916666667,"2014",2020-04-15
"106",2014-04-16,88.7333333333333,"2014",2020-04-16
"107",2014-04-17,81.4510416666667,"2014",2020-04-17
"108",2014-04-18,75.2114583333333,"2014",2020-04-18
"109",2014-04-19,65.0260416666667,"2014",2020-04-19
"110",2014-04-20,53.4885416666667,"2014",2020-04-20
"111",2014-04-21,49.0041666666667,"2014",2020-04-21
"112",2014-04-22,46.5614583333333,"2014",2020-04-22
"113",2014-04-23,42.3427083333333,"2014",2020-04-23
"114",2014-04-24,34.7625,"2014",2020-04-24
"115",2014-04-25,37.1979166666667,"2014",2020-04-25
"116",2014-04-26,58.7114583333333,"2014",2020-04-26
"117",2014-04-27,67.8114583333333,"2014",2020-04-27
"118",2014-04-28,63.26875,"2014",2020-04-28
"119",2014-04-29,50.4395833333333,"2014",2020-04-29
"120",2014-04-30,103.332291666667,"2014",2020-04-30
"121",2014-05-01,439.666666666667,"2014",2020-05-01
"122",2014-05-02,387.208333333333,"2014",2020-05-02
"123",2014-05-03,187.208333333333,"2014",2020-05-03
"124",2014-05-04,132.96875,"2014",2020-05-04
"125",2014-05-05,106.5375,"2014",2020-05-05
"126",2014-05-06,72.3895833333333,"2014",2020-05-06
"127",2014-05-07,55.9989583333333,"2014",2020-05-07
"128",2014-05-08,70.671875,"2014",2020-05-08
"129",2014-05-09,83.7083333333333,"2014",2020-05-09
"130",2014-05-10,81.9229166666667,"2014",2020-05-10
"131",2014-05-11,76.7208333333333,"2014",2020-05-11
"132",2014-05-12,74.5239583333333,"2014",2020-05-12
"133",2014-05-13,68.10625,"2014",2020-05-13
"134",2014-05-14,57.3760416666667,"2014",2020-05-14
"135",2014-05-15,55.1958333333333,"2014",2020-05-15
"136",2014-05-16,60.4645833333333,"2014",2020-05-16
"137",2014-05-17,101.20625,"2014",2020-05-17
"138",2014-05-18,95.3635416666667,"2014",2020-05-18
"139",2014-05-19,70.9739583333333,"2014",2020-05-19
"140",2014-05-20,55.6885416666667,"2014",2020-05-20
"141",2014-05-21,48.5760416666667,"2014",2020-05-21
"142",2014-05-22,55.2427083333333,"2014",2020-05-22
"143",2014-05-23,64.5489583333333,"2014",2020-05-23
"144",2014-05-24,64.8104166666667,"2014",2020-05-24
"145",2014-05-25,61.7239583333333,"2014",2020-05-25
"146",2014-05-26,57.915625,"2014",2020-05-26
"147",2014-05-27,49.4458333333333,"2014",2020-05-27
"148",2014-05-28,45.459375,"2014",2020-05-28
"149",2014-05-29,44.084375,"2014",2020-05-29
