"","tag_code","Tag_date","exposure_start_date","exposure_end_date","exposure_begin","exposure_end","exposure_duration","censor_approach","censor_ladder","Species","Length..mm.","Weight..g.","Age"
"1","900_226000135103",2013-04-11 12:00:00,2013-04-11 12:00:00,NA,0,12,12,NA,NA,"Alosa pseudoharengus",249,210,NA
"2","900_226000135103",2013-04-11 12:00:00,2013-04-12 00:00:00,NA,12,36,24,NA,NA,"Alosa pseudoharengus",249,210,NA
"3","900_226000135103",2013-04-11 12:00:00,2013-04-13 00:00:00,NA,36,60,24,NA,NA,"Alosa pseudoharengus",249,210,NA
"4","900_226000135103",2013-04-11 12:00:00,2013-04-14 00:00:00,NA,60,84,24,NA,NA,"Alosa pseudoharengus",249,210,NA
"5","900_226000135103",2013-04-11 12:00:00,2013-04-15 00:00:00,NA,84,108,24,NA,NA,"Alosa pseudoharengus",249,210,NA
"6","900_226000135103",2013-04-11 12:00:00,2013-04-16 00:00:00,NA,108,132,24,NA,NA,"Alosa pseudoharengus",249,210,NA
"7","900_226000135103",2013-04-11 12:00:00,2013-04-17 00:00:00,NA,132,156,24,NA,NA,"Alosa pseudoharengus",249,210,NA
"8","900_226000135103",2013-04-11 12:00:00,2013-04-18 00:00:00,NA,156,180,24,NA,NA,"Alosa pseudoharengus",249,210,NA
"9","900_226000135103",2013-04-11 12:00:00,2013-04-19 00:00:00,NA,180,204,24,NA,NA,"Alosa pseudoharengus",249,210,NA
"10","900_226000135103",2013-04-11 12:00:00,2013-04-20 00:00:00,NA,204,228,24,NA,NA,"Alosa pseudoharengus",249,210,NA
"11","900_226000135103",2013-04-11 12:00:00,2013-04-21 00:00:00,NA,228,252,24,NA,NA,"Alosa pseudoharengus",249,210,NA
"12","900_226000135103",2013-04-11 12:00:00,2013-04-22 00:00:00,NA,252,276,24,NA,NA,"Alosa pseudoharengus",249,210,NA
"13","900_226000135103",2013-04-11 12:00:00,2013-04-23 00:00:00,NA,276,300,24,NA,NA,"Alosa pseudoharengus",249,210,NA
"14","900_226000135103",2013-04-11 12:00:00,2013-04-24 00:00:00,NA,300,324,24,NA,NA,"Alosa pseudoharengus",249,210,NA
"15","900_226000135103",2013-04-11 12:00:00,2013-04-25 00:00:00,NA,324,348,24,NA,NA,"Alosa pseudoharengus",249,210,NA
"16","900_226000135103",2013-04-11 12:00:00,2013-04-26 00:00:00,NA,348,372,24,NA,NA,"Alosa pseudoharengus",249,210,NA
"17","900_226000135103",2013-04-11 12:00:00,2013-04-27 00:00:00,NA,372,396,24,NA,NA,"Alosa pseudoharengus",249,210,NA
"18","900_226000135103",2013-04-11 12:00:00,2013-04-28 00:00:00,NA,396,420,24,NA,NA,"Alosa pseudoharengus",249,210,NA
"19","900_226000135103",2013-04-11 12:00:00,2013-04-29 00:00:00,NA,420,444,24,NA,NA,"Alosa pseudoharengus",249,210,NA
"20","900_226000135103",2013-04-11 12:00:00,2013-04-30 00:00:00,NA,444,468,24,NA,NA,"Alosa pseudoharengus",249,210,NA
"21","900_226000135103",2013-04-11 12:00:00,2013-05-01 00:00:00,NA,468,492,24,NA,NA,"Alosa pseudoharengus",249,210,NA
"22","900_226000135103",2013-04-11 12:00:00,2013-05-02 00:00:00,NA,492,516,24,NA,NA,"Alosa pseudoharengus",249,210,NA
"23","900_226000135103",2013-04-11 12:00:00,2013-05-03 00:00:00,NA,516,540,24,NA,NA,"Alosa pseudoharengus",249,210,NA
"24","900_226000135103",2013-04-11 12:00:00,2013-05-04 00:00:00,NA,540,564,24,NA,NA,"Alosa pseudoharengus",249,210,NA
"25","900_226000135103",2013-04-11 12:00:00,2013-05-05 00:00:00,NA,564,588,24,NA,NA,"Alosa pseudoharengus",249,210,NA
"26","900_226000135103",2013-04-11 12:00:00,2013-05-06 00:00:00,NA,588,612,24,NA,NA,"Alosa pseudoharengus",249,210,NA
"27","900_226000135103",2013-04-11 12:00:00,2013-05-07 00:00:00,NA,612,636,24,NA,NA,"Alosa pseudoharengus",249,210,NA
"28","900_226000135103",2013-04-11 12:00:00,2013-05-08 00:00:00,NA,636,660,24,NA,NA,"Alosa pseudoharengus",249,210,NA
"29","900_226000135103",2013-04-11 12:00:00,2013-05-09 00:00:00,NA,660,684,24,NA,NA,"Alosa pseudoharengus",249,210,NA
"30","900_226000135103",2013-04-11 12:00:00,2013-05-10 00:00:00,NA,684,708,24,NA,NA,"Alosa pseudoharengus",249,210,NA
"31","900_226000135103",2013-04-11 12:00:00,2013-05-11 00:00:00,NA,708,732,24,NA,NA,"Alosa pseudoharengus",249,210,NA
"32","900_226000135103",2013-04-11 12:00:00,2013-05-12 00:00:00,NA,732,756,24,NA,NA,"Alosa pseudoharengus",249,210,NA
"33","900_226000135103",2013-04-11 12:00:00,2013-05-13 00:00:00,NA,756,780,24,NA,NA,"Alosa pseudoharengus",249,210,NA
"34","900_226000135103",2013-04-11 12:00:00,2013-05-14 00:00:00,NA,780,804,24,NA,NA,"Alosa pseudoharengus",249,210,NA
"35","900_226000135103",2013-04-11 12:00:00,2013-05-15 00:00:00,NA,804,828,24,NA,NA,"Alosa pseudoharengus",249,210,NA
"36","900_226000135103",2013-04-11 12:00:00,2013-05-16 00:00:00,NA,828,852,24,NA,NA,"Alosa pseudoharengus",249,210,NA
"37","900_226000135103",2013-04-11 12:00:00,2013-05-17 00:00:00,NA,852,876,24,NA,NA,"Alosa pseudoharengus",249,210,NA
"38","900_226000135103",2013-04-11 12:00:00,2013-05-18 00:00:00,NA,876,900,24,NA,NA,"Alosa pseudoharengus",249,210,NA
"39","900_226000135103",2013-04-11 12:00:00,2013-05-19 00:00:00,NA,900,924,24,NA,NA,"Alosa pseudoharengus",249,210,NA
"40","900_226000135103",2013-04-11 12:00:00,2013-05-20 00:00:00,NA,924,948,24,NA,NA,"Alosa pseudoharengus",249,210,NA
"41","900_226000135103",2013-04-11 12:00:00,2013-05-21 00:00:00,NA,948,972,24,NA,NA,"Alosa pseudoharengus",249,210,NA
