tag_code,Tag_date,exposure_dam,exposure_ladder,exposure_start_date,exposure_end_date,exposure_begin,exposure_end,exposure_duration,censor_approach,censor_ladder,Species,Length..mm.,Weight..g.,Age
900_226000135103,4/11/2013 12:00,1,,4/11/2013 12:00,NA,0,12,12,NA,NA,Alosa pseudoharengus,249,210,NA
900_226000135103,4/11/2013 12:00,1,,4/12/2013 0:00,NA,12,36,24,NA,NA,Alosa pseudoharengus,249,210,NA
900_226000135103,4/11/2013 12:00,1,,4/13/2013 0:00,NA,36,60,24,NA,NA,Alosa pseudoharengus,249,210,NA
900_226000135103,4/11/2013 12:00,1,,4/14/2013 0:00,NA,60,84,24,NA,NA,Alosa pseudoharengus,249,210,NA
900_226000135103,4/11/2013 12:00,1,,4/15/2013 0:00,NA,84,108,24,NA,NA,Alosa pseudoharengus,249,210,NA
900_226000135103,4/11/2013 12:00,1,,4/16/2013 0:00,NA,108,132,24,NA,NA,Alosa pseudoharengus,249,210,NA
900_226000135103,4/11/2013 12:00,1,,4/17/2013 0:00,NA,132,156,24,NA,NA,Alosa pseudoharengus,249,210,NA
900_226000135103,4/11/2013 12:00,1,,4/18/2013 0:00,NA,156,180,24,NA,NA,Alosa pseudoharengus,249,210,NA
900_226000135103,4/11/2013 12:00,1,,4/19/2013 0:00,NA,180,204,24,NA,NA,Alosa pseudoharengus,249,210,NA
900_226000135103,4/11/2013 12:00,1,,4/20/2013 0:00,NA,204,228,24,NA,NA,Alosa pseudoharengus,249,210,NA
900_226000135103,4/11/2013 12:00,1,,4/21/2013 0:00,NA,228,252,24,NA,NA,Alosa pseudoharengus,249,210,NA
900_226000135103,4/11/2013 12:00,1,,4/22/2013 0:00,NA,252,276,24,NA,NA,Alosa pseudoharengus,249,210,NA
900_226000135103,4/11/2013 12:00,1,,4/23/2013 0:00,NA,276,300,24,NA,NA,Alosa pseudoharengus,249,210,NA
900_226000135103,4/11/2013 12:00,1,,4/24/2013 0:00,NA,300,324,24,NA,NA,Alosa pseudoharengus,249,210,NA
900_226000135103,4/11/2013 12:00,1,,4/25/2013 0:00,NA,324,348,24,NA,NA,Alosa pseudoharengus,249,210,NA
900_226000135103,4/11/2013 12:00,1,,4/26/2013 0:00,NA,348,372,24,NA,NA,Alosa pseudoharengus,249,210,NA
900_226000135103,4/11/2013 12:00,1,,4/27/2013 0:00,NA,372,396,24,NA,NA,Alosa pseudoharengus,249,210,NA
900_226000135103,4/11/2013 12:00,1,,4/28/2013 0:00,NA,396,420,24,NA,NA,Alosa pseudoharengus,249,210,NA
900_226000135103,4/11/2013 12:00,1,,4/29/2013 0:00,NA,420,444,24,NA,NA,Alosa pseudoharengus,249,210,NA
900_226000135103,4/11/2013 12:00,1,,4/30/2013 0:00,NA,444,468,24,NA,NA,Alosa pseudoharengus,249,210,NA
900_226000135103,4/11/2013 12:00,1,,5/1/2013 0:00,NA,468,492,24,NA,NA,Alosa pseudoharengus,249,210,NA
900_226000135103,4/11/2013 12:00,1,,5/2/2013 0:00,NA,492,516,24,NA,NA,Alosa pseudoharengus,249,210,NA
900_226000135103,4/11/2013 12:00,1,,5/3/2013 0:00,NA,516,540,24,NA,NA,Alosa pseudoharengus,249,210,NA
900_226000135103,4/11/2013 12:00,1,,5/4/2013 0:00,NA,540,564,24,NA,NA,Alosa pseudoharengus,249,210,NA
900_226000135103,4/11/2013 12:00,1,,5/5/2013 0:00,NA,564,588,24,NA,NA,Alosa pseudoharengus,249,210,NA
900_226000135103,4/11/2013 12:00,1,,5/6/2013 0:00,NA,588,612,24,NA,NA,Alosa pseudoharengus,249,210,NA
900_226000135103,4/11/2013 12:00,1,,5/7/2013 0:00,NA,612,636,24,NA,NA,Alosa pseudoharengus,249,210,NA
900_226000135103,4/11/2013 12:00,1,,5/8/2013 0:00,NA,636,660,24,NA,NA,Alosa pseudoharengus,249,210,NA
900_226000135103,4/11/2013 12:00,1,,5/9/2013 0:00,NA,660,684,24,NA,NA,Alosa pseudoharengus,249,210,NA
900_226000135103,4/11/2013 12:00,1,,5/10/2013 0:00,NA,684,708,24,NA,NA,Alosa pseudoharengus,249,210,NA
900_226000135103,4/11/2013 12:00,1,,5/11/2013 0:00,NA,708,732,24,NA,NA,Alosa pseudoharengus,249,210,NA
900_226000135103,4/11/2013 12:00,1,,5/12/2013 0:00,NA,732,756,24,NA,NA,Alosa pseudoharengus,249,210,NA
900_226000135103,4/11/2013 12:00,1,,5/13/2013 0:00,NA,756,780,24,NA,NA,Alosa pseudoharengus,249,210,NA
900_226000135103,4/11/2013 12:00,1,,5/14/2013 0:00,NA,780,804,24,NA,NA,Alosa pseudoharengus,249,210,NA
900_226000135103,4/11/2013 12:00,1,,5/15/2013 0:00,NA,804,828,24,NA,NA,Alosa pseudoharengus,249,210,NA
900_226000135103,4/11/2013 12:00,1,,5/16/2013 0:00,NA,828,852,24,NA,NA,Alosa pseudoharengus,249,210,NA
900_226000135103,4/11/2013 12:00,1,,5/17/2013 0:00,NA,852,876,24,NA,NA,Alosa pseudoharengus,249,210,NA
900_226000135103,4/11/2013 12:00,1,,5/18/2013 0:00,NA,876,900,24,NA,NA,Alosa pseudoharengus,249,210,NA
900_226000135103,4/11/2013 12:00,1,,5/19/2013 0:00,NA,900,924,24,NA,NA,Alosa pseudoharengus,249,210,NA
900_226000135103,4/11/2013 12:00,1,,5/20/2013 0:00,NA,924,948,24,NA,NA,Alosa pseudoharengus,249,210,NA
900_226000135103,4/11/2013 12:00,1,,5/21/2013 0:00,NA,948,972,24,NA,NA,Alosa pseudoharengus,249,210,NA
900_226000135103,4/11/2013 12:00,1,,5/22/2013 0:00,NA,972,996,24,NA,NA,Alosa pseudoharengus,249,210,NA
900_226000135103,4/11/2013 12:00,1,,5/23/2013 0:00,NA,996,1020,24,NA,NA,Alosa pseudoharengus,249,210,NA
900_226000135103,4/11/2013 12:00,1,,5/24/2013 0:00,NA,1020,1044,24,NA,NA,Alosa pseudoharengus,249,210,NA
900_226000135103,4/11/2013 12:00,1,,5/25/2013 0:00,NA,1044,1068,24,NA,NA,Alosa pseudoharengus,249,210,NA
900_226000135103,4/11/2013 12:00,1,,5/26/2013 0:00,NA,1068,1092,24,NA,NA,Alosa pseudoharengus,249,210,NA
900_226000135103,4/11/2013 12:00,1,,5/27/2013 0:00,NA,1092,1116,24,NA,NA,Alosa pseudoharengus,249,210,NA
900_226000135103,4/11/2013 12:00,1,,5/28/2013 0:00,NA,1116,1140,24,NA,NA,Alosa pseudoharengus,249,210,NA
900_226000135103,4/11/2013 12:00,1,,5/29/2013 0:00,NA,1140,1164,24,NA,NA,Alosa pseudoharengus,249,210,NA
900_226000135103,4/11/2013 12:00,1,,5/30/2013 0:00,NA,1164,1188,24,NA,NA,Alosa pseudoharengus,249,210,NA
900_226000135103,4/11/2013 12:00,1,,5/31/2013 0:00,NA,1188,1212,24,NA,NA,Alosa pseudoharengus,249,210,NA
900_226000135103,4/11/2013 12:00,1,,6/1/2013 0:00,NA,1212,1236,24,NA,NA,Alosa pseudoharengus,249,210,NA
900_226000135103,4/11/2013 12:00,1,,6/2/2013 0:00,NA,1236,1260,24,NA,NA,Alosa pseudoharengus,249,210,NA
900_226000135103,4/11/2013 12:00,1,,6/3/2013 0:00,NA,1260,1284,24,NA,NA,Alosa pseudoharengus,249,210,NA
900_226000135103,4/11/2013 12:00,1,,6/4/2013 0:00,NA,1284,1308,24,NA,NA,Alosa pseudoharengus,249,210,NA
900_226000135103,4/11/2013 12:00,1,,6/5/2013 0:00,NA,1308,1332,24,NA,NA,Alosa pseudoharengus,249,210,NA
900_226000135103,4/11/2013 12:00,1,,6/6/2013 0:00,NA,1332,1356,24,NA,NA,Alosa pseudoharengus,249,210,NA
900_226000135103,4/11/2013 12:00,1,,6/7/2013 0:00,NA,1356,1380,24,NA,NA,Alosa pseudoharengus,249,210,NA
900_226000135103,4/11/2013 12:00,1,,6/8/2013 0:00,NA,1380,1404,24,NA,NA,Alosa pseudoharengus,249,210,NA
900_226000135103,4/11/2013 12:00,1,,6/9/2013 0:00,NA,1404,1428,24,NA,NA,Alosa pseudoharengus,249,210,NA
900_226000135103,4/11/2013 12:00,1,,6/10/2013 0:00,NA,1428,1452,24,NA,NA,Alosa pseudoharengus,249,210,NA
900_226000135103,4/11/2013 12:00,1,,6/11/2013 0:00,NA,1452,1476,24,NA,NA,Alosa pseudoharengus,249,210,NA
900_226000135103,4/11/2013 12:00,1,,6/12/2013 0:00,NA,1476,1500,24,NA,NA,Alosa pseudoharengus,249,210,NA
900_226000135103,4/11/2013 12:00,1,,6/13/2013 0:00,NA,1500,1524,24,NA,NA,Alosa pseudoharengus,249,210,NA
