"reader","det_type","date","time","desc","volt","date_time"
"R1","E",2013-06-19,"05:35:56","Reader stopped -- low voltage: 6.7V",6.7,2013-06-19 05:35:56
"R1","E",2014-04-11,"06:54:12","supply power ok 12.2V",12.2,2014-04-11 06:54:12
"R1","E",2014-04-16,"12:49:17","supply power ok 11.4V",11.4,2014-04-16 12:49:17
"R1","E",2014-04-16,"13:07:06","supply power ok 11.4V",11.4,2014-04-16 13:07:06
"R1","E",2014-04-22,"07:43:07","supply power ok 12.7V",12.7,2014-04-22 07:43:07
"R1","E",2014-04-24,"13:42:37","supply power ok 12.7V",12.7,2014-04-24 13:42:37
"R1","E",2014-04-25,"14:05:38","supply power ok 12.4V",12.4,2014-04-25 14:05:38
"R1","E",2014-04-28,"14:37:44","supply power ok 12.3V",12.3,2014-04-28 14:37:44
"R1","E",2014-05-02,"09:02:56","supply power ok 12.3V",12.3,2014-05-02 09:02:56
"R1","E",2014-05-06,"8:42:17","supply power ok 12.2V",12.2,2014-05-06 08:42:17
"R1","E",2014-05-07,"11:05:50","supply power ok 12.0V",12,2014-05-07 11:05:50
"R1","E",2014-05-09,"08:28:50","supply power ok 11.9V",11.9,2014-05-09 08:28:50
"R1","E",2014-05-09,"08:46:25","supply power ok 12.3V",12.3,2014-05-09 08:46:25
"R1","E",2014-05-13,"07:56:29","supply power ok 12.0V",12,2014-05-13 07:56:29
"R1","E",2014-05-16,"9:20:00","supply power ok 12.2V",12.2,2014-05-16 09:20:00
"R1","E",2014-05-23,"10:09:52","supply power ok 12.3V",12.3,2014-05-23 10:09:52
"R1","E",2014-05-20,"14:28:22","supply power ok 12.2V",12.2,2014-05-20 14:28:22
"R1","E",2014-05-30,"08:18:01","supply power ok 12.1V",12.1,2014-05-30 08:18:01
"R1","E",2014-05-27,"09:09:00","supply power ok 12.0V",12,2014-05-27 09:09:00
"R1","E",2014-06-03,"09:27:09","supply power ok 12.1V",12.1,2014-06-03 09:27:09
"R1","E",2014-06-03,"09:33:14","supply power ok 12.1V",12.1,2014-06-03 09:33:14
"R1","E",2014-06-06,"07:56:03","supply power ok 12.2V",12.2,2014-06-06 07:56:03
"R1","E",2014-06-10,"07:24:57","supply power ok 12.1V",12.1,2014-06-10 07:24:57
"R1","E",2014-06-10,"07:25:35","supply power ok 12.2V",12.2,2014-06-10 07:25:35
"R1","E",2014-06-10,"07:28:25","supply power ok 12.1V",12.1,2014-06-10 07:28:25
"R1","E",2014-06-13,"08:39:28","supply power ok 12.1V",12.1,2014-06-13 08:39:28
"R1","E",2014-06-17,"07:41:16","supply power ok 12.4V",12.4,2014-06-17 07:41:16
"R1","E",2014-06-20,"08:26:15","supply power ok 12.1V",12.1,2014-06-20 08:26:15
"R1","E",2014-06-24,"08:35:34","supply power ok 12.0V",12,2014-06-24 08:35:34
