=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2014.05.02 09:21:08 =~=~=~=~=~=~=~=~=~=~=~=

Type 'HE' for help

>AD
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.16 Tx A1 0.84 A2 0.76                 EA 0.39   12.2 V     3.2 V   09:07:19.34
Rx 0.16 Tx A1 0.81 A2 0.75 A3 0.41         EA 0.34   12.2 V     3.2 V   09:07:19.85
Rx 0.17 Tx A1 0.82 A2 0.75 A3 0.41         EA 0.35   12.2 V     3.2 V   09:07:20.37
Rx 0.16 Tx A1 0.81 A2 0.74 A3 0.41         EA 0.33   12.2 V     3.2 V   09:07:20.88
Rx 0.16 Tx A1 0.82 A2 0.73 A3 0.40         EA 0.34   12.2 V     3.2 V   09:07:21.40
Rx 0.16 Tx A1 0.81 A2 0.75 A3 0.41         EA 0.34   12.2 V     3.2 V   09:07:21.91
Rx 0.17 Tx A1 0.85 A2 0.74 A3 0.41         EA 0.35   12.2 V     3.2 V   09:07:22.43

>CS
Column separator: Spaces
S=spaces, T=tab, C=comma

>C
2014-05-02 09:07:29.32 00:00:00.00 HR 0000_0000000181177608 A2   1   53
2014-05-02 09:07:29.32 00:00:00.33 HR 0000_0000000181177608 A2   2
S
2014-05-02 09:07:29.32 00:00:00.33 HR 0000_0000000181177608 A2   2   53 DETECT
T
2014-05-02 09:07:32.96 00:00:00.00 HR 0000_0000000181177608 A2   1    9
2014-05-02 09:07:32.96 00:00:00.34 HR 0000_0000000181177608 A2   2
2014-05-02 09:07:32.96 00:00:00.67 HR 0000_0000000181177608 A2   3
2014-05-02 09:07:32.96 00:00:01.00 HR 0000_0000000181177608 A2   4
2014-05-02 09:07:32.96 00:00:01.33 HR 0000_0000000181177608 A2   5
2014-05-02 09:07:32.96 00:00:01.66 HR 0000_0000000181177608 A2   6
2014-05-02 09:07:32.96 00:00:01.99 HR 0000_0000000181177608 A2   7
2014-05-02 09:07:32.96 00:00:02.33 HR 0000_0000000181177608 A2   8
2014-05-02 09:07:32.96 00:00:02.66 HR 0000_0000000181177608 A2   9
2014-05-02 09:07:32.96 00:00:02.99 HR 0000_0000000181177608 A2  10
2014-05-02 09:07:32.96 00:00:03.33 HR 0000_0000000181177608 A2  11
2014-05-02 09:07:32.96 00:00:03.66 HR 0000_0000000181177608 A2  12
2014-05-02 09:07:32.96 00:00:03.66 HR 0000_0000000181177608 A2  12    9 DETECT
2014-05-02 09:07:39.28 00:00:00.00 HR 0000_0000000181177608 A2   1    7
2014-05-02 09:07:39.28 00:00:00.33 HR 0000_0000000181177608 A2   2
2014-05-02 09:07:39.28 00:00:00.66 HR 0000_0000000181177608 A2   3
2014-05-02 09:07:39.28 00:00:00.99 HR 0000_0000000181177608 A2   4
2014-05-02 09:07:39.28 00:00:01.32 HR 0000_0000000181177608 A2   5
2014-05-02 09:07:39.28 00:00:01.65 HR 0000_0000000181177608 A2   6
2014-05-02 09:07:39.28 00:00:01.99 HR 0000_0000000181177608 A2   7
2014-05-02 09:07:39.28 00:00:02.32 HR 0000_0000000181177608 A2   8
2014-05-02 09:07:39.28 00:00:02.64 HR 0000_0000000181177608 A2   9
2014-05-02 09:07:39.28 00:00:02.98 HR 0000_0000000181177608 A2  10
2014-05-02 09:07:39.28 00:00:03.31 HR 0000_0000000181177608 A2  11
2014-05-02 09:07:39.28 00:00:03.65 HR 0000_0000000181177608 A2  12
2014-05-02 09:07:39.28 00:00:03.98 HR 0000_0000000181177608 A2  13
2014-05-02 09:07:39.28 00:00:03.98 HR 0000_0000000181177608 A2  13    7 DETECT

™™
Column separator changed to Tabs

>UP
Upload #19
Reader: Noname  Site: AA
--------- upload 19 start ---------
Type	Date	Time	Duration	Type	Tag ID	Ant	Count	Gap
E	2014-04-24	13:24:49.52	upload 18 complete
D	2014-04-24	13:26:13.40	00:00:00.67	HA	900_226000135103	A3	3	351
D	2014-04-24	13:26:30.31	00:00:00.00	HA	900_226000135103	A3	1	48
D	2014-04-24	13:27:28.63	00:00:00.00	HA	900_226000135103	A3	1	175
D	2014-04-24	13:27:57.12	00:00:01.00	HA	900_226000135103	A3	4	85
D	2014-04-24	13:28:12.70	00:00:00.00	HA	900_226000135103	A3	1	43
D	2014-04-24	13:28:14.69	00:00:00.00	HA	900_226000135103	A3	1	5
D	2014-04-24	13:29:39.85	00:00:00.00	HA	900_226000135103	A3	1	256
D	2014-04-24	13:29:51.78	00:00:00.34	HA	900_226000135103	A3	2	35
D	2014-04-24	13:31:51.73	00:00:00.00	HA	900_226000135103	A3	1	360
D	2014-04-24	13:32:21.22	00:00:00.00	HA	900_226000135103	A3	1	88
D	2014-04-24	13:34:37.96	00:00:00.00	HR	0000_0000000181177608	A2	1	1799
E	2014-04-24	13:42:37.11	supply power ok 12.7V
E	2014-04-24	13:42:37.11	database file opened
E	2014-04-24	13:42:37.11	starting reader after power up
D	2014-04-24	13:44:34.41	00:00:00.00	HR	0000_0000000181177608	A2	1	335
D	2014-04-24	13:52:15.18	00:00:00.00	HR	0000_0000000174764573	A1	1	1726
D	2014-04-24	13:54:30.79	00:00:00.00	HR	0000_0000000181177608	A2	1	1799
D	2014-04-24	14:02:10.90	00:00:00.00	HR	0000_0000000174764573	A1	1	1797
D	2014-04-24	14:12:06.63	00:00:00.00	HR	0000_0000000174764573	A1	1	1797
D	2014-04-24	14:13:38.97	00:00:00.00	HR	0000_0000000174764544	A3	1	5601
D	2014-04-24	14:14:23.92	00:00:00.00	HR	0000_0000000181177608	A2	1	3600
D	2014-04-24	14:22:02.38	00:00:00.00	HR	0000_0000000174764573	A1	1	1797
D	2014-04-24	14:28:37.86	00:00:00.00	HR	0000_0000000174764544	A3	1	2712
D	2014-04-24	14:31:58.11	00:00:00.00	HR	0000_0000000174764573	A1	1	1797
D	2014-04-24	14:34:17.06	00:00:00.00	HR	0000_0000000181177608	A2	1	3600
D	2014-04-24	14:41:53.87	00:00:00.00	HR	0000_0000000174764573	A1	1	1797
D	2014-04-24	14:43:36.81	00:00:00.00	HR	0000_0000000174764544	A3	1	2712
D	2014-04-24	14:44:13.81	00:00:00.00	HR	0000_0000000181177608	A2	1	1800
D	2014-04-24	14:51:49.63	00:00:00.00	HR	0000_0000000174764573	A1	1	1797
D	2014-04-24	14:58:35.43	00:00:00.00	HR	0000_0000000174764544	A3	1	2711
D	2014-04-24	15:01:45.40	00:00:00.00	HR	0000_0000000174764573	A1	1	1797
D	2014-04-24	15:04:06.98	00:00:00.00	HR	0000_0000000181177608	A2	1	3600
D	2014-04-24	15:11:41.13	00:00:00.00	HR	0000_0000000174764573	A1	1	1797
D	2014-04-24	15:13:33.67	00:00:00.00	HR	0000_0000000174764544	A3	1	2710
D	2014-04-24	15:21:36.85	00:00:00.00	HR	0000_0000000174764573	A1	1	1797
D	2014-04-24	15:24:00.76	00:00:00.00	HR	0000_0000000181177608	A2	1	3602
D	2014-04-24	15:31:32.58	00:00:00.00	HR	0000_0000000174764573	A1	1	1797
D	2014-04-24	15:33:57.49	00:00:00.00	HR	0000_0000000181177608	A2	1	1800
D	2014-04-24	15:41:28.33	00:00:00.00	HR	0000_0000000174764573	A1	1	1797
D	2014-04-24	15:43:54.23	00:00:00.00	HR	0000_0000000181177608	A2	1	1800
D	2014-04-24	15:51:24.09	00:00:00.00	HR	0000_0000000174764573	A1	1	1797
D	2014-04-24	15:58:30.40	00:00:00.00	HR	0000_0000000174764544	A3	1	8138
D	2014-04-24	16:11:15.90	00:00:00.00	HR	0000_0000000174764573	A1	1	3596
D	2014-04-24	16:21:11.64	00:00:00.00	HR	0000_0000000174764573	A1	1	1797
D	2014-04-24	16:23:41.52	00:00:00.00	HR	0000_0000000181177608	A2	1	7204
D	2014-04-24	16:28:27.25	00:00:00.00	HR	0000_0000000174764544	A3	1	5422
D	2014-04-24	16:31:07.39	00:00:00.00	HR	0000_0000000174764573	A1	1	1797
D	2014-04-24	16:33:38.27	00:00:00.00	HR	0000_0000000181177608	A2	1	1800
D	2014-04-24	16:41:03.15	00:00:00.00	HR	0000_0000000174764573	A1	1	1797
D	2014-04-24	16:43:35.01	00:00:00.00	HR	0000_0000000181177608	A2	1	1800
D	2014-04-24	16:50:58.90	00:00:00.00	HR	0000_0000000174764573	A1	1	1797
D	2014-04-24	16:53:31.76	00:00:00.00	HR	0000_0000000181177608	A2	1	1800
D	2014-04-24	17:08:49.02	00:00:00.00	HA	900_226000137665	A3	1	7308
D	2014-04-24	17:08:51.01	00:00:00.00	HA	900_226000137665	A3	1	8
D	2014-04-24	17:08:54.33	00:00:00.33	HA	900_226000137665	A3	2	6
D	2014-04-24	17:08:56.65	00:00:00.33	HA	900_226000137665	A3	2	5
D	2014-04-24	17:09:04.29	00:00:00.66	HA	900_226000137665	A3	3	21
D	2014-04-24	17:09:06.93	00:00:00.67	HA	900_226000137665	A3	3	5
D	2014-04-24	17:09:09.92	00:00:00.34	HA	900_226000137665	A3	2	6
D	2014-04-24	17:10:27.78	00:00:00.00	HA	900_226000137665	A3	1	233
D	2014-04-24	17:10:33.09	00:00:00.00	HA	900_226000137665	A3	1	15
D	2014-04-24	17:10:44.69	00:00:00.00	HA	900_226000137665	A3	1	34
D	2014-04-24	17:10:45.68	00:00:00.00	HA	900_226000137665	A3	1	2
D	2014-04-24	17:10:46.68	00:00:00.34	HA	900_226000137665	A3	2	2
D	2014-04-24	17:10:56.95	00:00:01.66	HA	900_226000137665	A3	6	29
D	2014-04-24	17:11:02.59	00:00:00.33	HA	900_226000137665	A3	2	11
D	2014-04-24	17:11:31.09	00:00:02.32	HA	900_226000137665	A3	8	84
D	2014-04-24	17:12:46.31	00:00:00.33	HA	900_226000137665	A3	2	219
D	2014-04-24	17:12:48.64	00:00:00.33	HA	900_226000137665	A3	2	2
D	2014-04-24	17:13:22.42	00:00:00.00	HR	0000_0000000174764544	A3	1	103
D	2014-04-24	17:13:24.97	00:00:00.00	HR	0000_0000000181177608	A2	1	3600
D	2014-04-24	17:20:46.54	00:00:00.00	HR	0000_0000000174764573	A1	1	5394
D	2014-04-24	17:23:21.72	00:00:00.00	HR	0000_0000000181177608	A2	1	1800
D	2014-04-24	17:28:21.03	00:00:00.00	HR	0000_0000000174764544	A3	1	2711
D	2014-04-24	17:30:42.29	00:00:00.00	HR	0000_0000000174764573	A1	1	1797
D	2014-04-24	17:33:18.47	00:00:00.00	HR	0000_0000000181177608	A2	1	1800
D	2014-04-24	17:43:15.23	00:00:00.00	HR	0000_0000000181177608	A2	1	1800
D	2014-04-24	17:50:34.13	00:00:00.00	HR	0000_0000000174764573	A1	1	3596
D	2014-04-24	17:53:11.96	00:00:00.00	HR	0000_0000000181177608	A2	1	1800
D	2014-04-24	17:58:17.22	00:00:00.00	HR	0000_0000000174764544	A3	1	5420
D	2014-04-24	18:00:29.86	00:00:00.00	HR	0000_0000000174764573	A1	1	1797
D	2014-04-24	18:03:08.70	00:00:00.00	HR	0000_0000000181177608	A2	1	1800
D	2014-04-24	18:10:25.95	00:00:00.00	HR	0000_0000000174764573	A1	1	1798
D	2014-04-24	18:13:05.45	00:00:00.00	HR	0000_0000000181177608	A2	1	1800
