=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2014.05.07 10:43:12 =~=~=~=~=~=~=~=~=~=~=~=								
								
								
>UP20								
"Upload #20, 22250 records"								
Reader: Noname  Site: AA								
--------- upload 20 start ---------								
Type	Date	Time	Duration	Type	Tag ID	Ant	Count	Gap
E	2014-05-02	9:09:53	upload 19 complete					
D	2014-05-02	9:09:54	00:00.3	HR	0000_0000000181177608	A1	5	1235
D	2014-05-02	9:09:53	00:00.7	HR	0000_0000000181177608	A3	3	1160
D	2014-05-02	9:09:54	00:00.0	HR	0000_0000000181177608	A3	1	1
D	2014-05-02	9:10:03	59:50.3	HR	0000_0000000181177608	A2	6	64
D	2014-05-02	9:09:54	00:00.3	HR	0000_0000000181177608	A1	5	10
D	2014-05-02	9:09:54	00:09.3	HR	0000_0000000181177608	A3	2	11
D	2014-05-02	9:10:02	00:00.0	HR	0000_0000000181177608	A2	1	9
D	2014-05-02	9:10:03	59:59.7	HR	0000_0000000181177608	A1	6	4
D	2014-05-02	9:10:03	00:00.3	HR	0000_0000000181177608	A3	2	7
D	2014-05-02	9:10:05	00:00.7	HR	0000_0000000181177608	A1	3	3
D	2014-05-02	9:10:05	00:00.7	HR	0000_0000000181177608	A3	3	3
D	2014-05-02	9:10:07	00:00.0	HR	0000_0000000181177608	A1	1	3
D	2014-05-02	9:10:08	59:59.7	HR	0000_0000000181177608	A3	3	1
D	2014-05-02	9:10:09	00:00.0	HR	0000_0000000181177608	A1	1	2
D	2014-05-02	9:10:09	59:59.7	HR	0000_0000000181177608	A3	3	1
D	2014-05-02	9:10:11	00:00.0	HR	0000_0000000181177608	A1	1	2
D	2014-05-02	9:10:10	00:00.3	HR	0000_0000000181177608	A3	2	1
D	2014-05-02	9:10:12	59:59.3	HR	0000_0000000181177608	A1	2	3
D	2014-05-02	9:10:12	00:00.3	HR	0000_0000000181177608	A3	2	1
D	2014-05-02	9:10:12	00:00.0	HR	0000_0000000181177608	A1	1	3
D	2014-05-02	9:10:13	59:59.7	HR	0000_0000000181177608	A3	3	1
D	2014-05-02	9:10:14	00:00.0	HR	0000_0000000181177608	A1	1	3
D	2014-05-02	9:10:14	59:59.7	HR	0000_0000000181177608	A3	3	2
D	2014-05-02	9:10:16	00:00.0	HR	0000_0000000181177608	A1	1	3
D	2014-05-02	9:10:15	00:00.7	HR	0000_0000000181177608	A3	3	1
D	2014-05-02	9:10:16	00:00.0	HR	0000_0000000181177608	A1	1	2
D	2014-05-02	9:10:17	00:00.0	HR	0000_0000000181177608	A3	1	1
D	2014-05-02	9:10:17	00:00.0	HR	0000_0000000181177608	A1	1	2
D	2014-05-02	9:10:25	00:04.3	HR	0000_0000000181177608	A2	14	66
D	2014-05-02	9:10:29	00:03.0	HR	0000_0000000181177608	A2	10	1
D	2014-05-02	9:10:36	00:00.0	HR	0000_0000000181177608	A2	1	9
D	2014-05-02	9:10:38	00:03.7	HR	0000_0000000181177608	A2	12	5
D	2014-05-02	9:10:41	00:00.0	HR	0000_0000000181177608	A2	1	1
D	2014-05-02	9:10:43	00:00.3	HR	0000_0000000181177608	A2	2	3
D	2014-05-02	9:10:55	00:08.0	HR	0000_0000000181177608	A2	25	32
D	2014-05-02	9:11:04	00:00.0	HR	0000_0000000181177608	A2	1	3
D	2014-05-02	9:11:05	00:00.0	HR	0000_0000000181177608	A2	1	1
D	2014-05-02	9:11:06	00:00.7	HR	0000_0000000181177608	A2	3	3
D	2014-05-02	9:11:08	00:00.0	HR	0000_0000000181177608	A2	1	3
D	2014-05-02	9:11:11	00:00.0	HR	0000_0000000181177608	A2	1	7
D	2014-05-02	9:11:22	00:10.0	HR	0000_0000000181177608	A2	31	33
D	2014-05-02	9:11:33	00:03.3	HR	0000_0000000181177608	A2	11	2
D	2014-05-02	9:11:37	00:01.0	HR	0000_0000000181177608	A2	4	2
D	2014-05-02	9:11:39	00:02.7	HR	0000_0000000181177608	A2	9	1
D	2014-05-02	9:11:50	00:00.0	HR	0000_0000000181177608	A2	1	23
D	2014-05-02	9:11:50	00:00.0	HR	0000_0000000181177608	A2	1	2
D	2014-05-02	9:12:57	00:00.0	HR	0000_0000000181177608	A2	1	200
D	2014-05-02	9:13:06	00:00.0	HR	0000_0000000181177608	A2	1	26
D	2014-05-02	9:13:37	00:00.0	HR	0000_0000000181177608	A2	1	92
D	2014-05-02	9:13:43	00:00.0	HR	0000_0000000181177608	A2	1	16
D	2014-05-02	9:14:20	00:00.7	HR	0000_0000000181177608	A2	3	111
D	2014-05-02	9:16:30	00:00.0	HR	0000_0000000181177608	A2	1	389
D	2014-05-02	9:16:51	00:00.0	HR	0000_0000000181177608	A2	1	62
D	2014-05-02	9:17:55	00:02.3	HR	0000_0000000181177608	A2	8	193
D	2014-05-02	9:18:20	00:00.0	HR	0000_0000000174764573	A1	1	1455
D	2014-05-02	9:18:28	00:00.0	HR	0000_0000000174764544	A3	1	1479
D	2014-05-02	9:19:11	00:00.0	HR	0000_0000000181177608	A2	1	220
D	2014-05-02	9:19:32	00:00.0	HR	0000_0000000181177608	A2	1	63
D	2014-05-02	9:19:36	00:00.0	HR	0000_0000000181177608	A2	1	10
D	2014-05-02	9:19:53	00:01.3	HR	0000_0000000181177608	A2	5	52
D	2014-05-02	9:19:54	00:07.0	HR	0000_0000000181177608	A2	19	1
D	2014-05-02	9:20:02	00:00.0	HR	0000_0000000181177608	A2	1	2
D	2014-05-02	9:20:04	00:00.3	HR	0000_0000000181177608	A2	2	5
D	2014-05-02	9:20:04	00:03.0	HR	0000_0000000181177608	A2	7	1
D	2014-05-02	9:20:18	00:08.0	HR	0000_0000000181177608	A2	25	31
D	2014-05-02	9:20:32	00:05.0	HR	0000_0000000181177608	A2	16	17
D	2014-05-02	9:20:40	00:04.7	HR	0000_0000000181177608	A2	15	9
D	2014-05-02	9:20:47	00:00.3	HR	0000_0000000181177608	A2	2	2
D	2014-05-02	9:20:47	00:02.0	HR	0000_0000000181177608	A2	7	2
D	2014-05-02	9:20:51	00:00.0	HR	0000_0000000181177608	A2	1	4
D	2014-05-02	9:21:05	00:01.0	HR	0000_0000000181177608	A2	4	43
D	2014-05-02	9:21:09	00:01.7	HR	0000_0000000181177608	A2	6	9
D	2014-05-02	9:21:14	00:04.7	HR	0000_0000000181177608	A2	15	7
D	2014-05-02	9:21:19	00:00.3	HR	0000_0000000181177608	A2	2	2
D	2014-05-02	9:21:21	00:00.0	HR	0000_0000000181177608	A2	1	2
D	2014-05-02	9:21:23	00:04.3	HR	0000_0000000181177608	A2	14	5
D	2014-05-02	9:21:28	00:02.0	HR	0000_0000000181177608	A2	7	1
D	2014-05-02	9:23:30	00:05.0	HR	0000_0000000181177608	A2	16	362
D	2014-05-02	9:23:42	00:08.0	HR	0000_0000000181177608	A2	25	19
D	2014-05-02	9:23:51	00:04.7	HR	0000_0000000181177608	A2	15	2
D	2014-05-02	9:24:05	00:00.0	HR	0000_0000000181177608	A2	1	27
D	2014-05-02	9:24:07	00:00.0	HR	0000_0000000181177608	A2	1	6
D	2014-05-02	9:24:50	00:00.0	HR	0000_0000000181177608	A2	1	130
D	2014-05-02	9:25:15	00:00.0	HR	0000_0000000181177608	A2	1	72
D	2014-05-02	9:25:20	00:00.0	HR	0000_0000000181177608	A2	1	15
D	2014-05-02	9:25:30	00:00.0	HR	0000_0000000181177608	A2	1	28
D	2014-05-02	9:25:32	00:00.0	HR	0000_0000000181177608	A2	1	5
D	2014-05-02	9:25:50	00:00.0	HR	0000_0000000181177608	A2	1	54
D	2014-05-02	9:25:50	00:00.0	HR	0000_0000000181177608	A2	1	1
D	2014-05-02	9:26:07	00:01.3	HR	0000_0000000181177608	A2	5	50
D	2014-05-02	9:26:11	00:00.3	HR	0000_0000000181177608	A2	2	5
D	2014-05-02	9:26:14	00:15.9	HR	0000_0000000181177608	A2	49	8
D	2014-05-02	9:26:31	00:01.3	HR	0000_0000000181177608	A2	5	3
D	2014-05-02	9:26:33	00:00.0	HR	0000_0000000181177608	A2	1	1
D	2014-05-02	9:26:34	00:10.6	HR	0000_0000000181177608	A2	33	1
D	2014-05-02	9:26:47	00:06.0	HR	0000_0000000181177608	A2	22	2
D	2014-05-02	9:26:55	00:00.0	HR	0000_0000000181177608	A2	1	5
D	2014-05-02	9:27:00	00:01.7	HR	0000_0000000181177608	A2	6	16
D	2014-05-02	9:27:03	00:00.0	HR	0000_0000000181177608	A2	1	1
D	2014-05-02	9:27:05	00:00.0	HR	0000_0000000181177608	A2	1	3
D	2014-05-02	9:27:06	00:10.0	HR	0000_0000000181177608	A2	31	6
D	2014-05-02	9:27:17	00:04.7	HR	0000_0000000181177608	A2	15	1
D	2014-05-02	9:27:22	00:00.0	HR	0000_0000000181177608	A2	1	2
D	2014-05-02	9:27:22	00:00.0	HR	0000_0000000181177608	A2	1	1
D	2014-05-02	9:27:24	00:00.0	HR	0000_0000000181177608	A2	1	3
D	2014-05-02	9:27:25	00:00.0	HR	0000_0000000181177608	A2	1	2
D	2014-05-02	9:27:38	00:00.3	HR	0000_0000000181177608	A2	2	37
D	2014-05-02	9:27:46	00:07.0	HR	0000_0000000181177608	A2	22	22
