=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2014.05.07 10:43:12 =~=~=~=~=~=~=~=~=~=~=~=								
								
Type 'HE' for help								
								
>MX								
12								
>UP								
Upload #21								
Reader: Noname  Site: AA								
--------- upload 21 start ---------								
Type	Date	Time	Duration	Type	Tag ID	Ant	Count	Gap
E	2014-05-06	8:49:36	upload 20 complete					
D	2014-05-06	8:55:46	00:00.0	HR	0000_0000000174764573	A1	1	3404
D	2014-05-06	9:05:42	00:00.2	HR	0000_0000000174764573	A1	2	2696
D	2014-05-06	9:15:38	00:00.0	HR	0000_0000000174764573	A1	1	2696
D	2014-05-06	9:25:34	00:00.0	HR	0000_0000000174764573	A1	1	2698
D	2014-05-06	9:35:30	00:00.0	HR	0000_0000000174764573	A1	1	2697
D	2014-05-06	9:45:26	00:00.0	HR	0000_0000000174764573	A1	1	2698
D	2014-05-06	9:55:22	00:00.0	HR	0000_0000000174764573	A1	1	2698
D	2014-05-06	10:05:18	00:00.0	HR	0000_0000000174764573	A1	1	2698
D	2014-05-06	10:15:14	00:00.0	HR	0000_0000000174764573	A1	1	2699
D	2014-05-06	10:25:11	00:00.0	HR	0000_0000000174764573	A1	1	2700
D	2014-05-06	10:35:07	00:00.0	HR	0000_0000000174764573	A1	1	2699
D	2014-05-06	10:45:04	00:00.0	HR	0000_0000000174764573	A1	1	2700
D	2014-05-06	10:55:00	00:00.0	HR	0000_0000000174764573	A1	1	2699
D	2014-05-06	11:04:57	00:00.0	HR	0000_0000000174764573	A1	1	2699
D	2014-05-06	11:14:53	00:00.0	HR	0000_0000000174764573	A1	1	2699
D	2014-05-06	11:24:50	00:00.0	HR	0000_0000000174764573	A1	1	2700
D	2014-05-06	11:34:46	00:00.0	HR	0000_0000000174764573	A1	1	2701
D	2014-05-06	11:44:43	00:00.0	HR	0000_0000000174764573	A1	1	2702
D	2014-05-06	11:54:41	00:00.0	HR	0000_0000000174764573	A1	1	2703
D	2014-05-06	12:04:38	00:00.0	HR	0000_0000000174764573	A1	1	2702
D	2014-05-06	12:14:35	00:00.2	HR	0000_0000000174764573	A1	2	2702
D	2014-05-06	12:24:32	00:00.0	HR	0000_0000000174764573	A1	1	2701
D	2014-05-06	12:34:29	00:00.2	HR	0000_0000000174764573	A1	2	2702
D	2014-05-06	12:44:26	00:00.0	HR	0000_0000000174764573	A1	1	2702
D	2014-05-06	12:54:23	00:00.0	HR	0000_0000000174764573	A1	1	2704
D	2014-05-06	13:04:21	00:00.0	HR	0000_0000000174764573	A1	1	2703
D	2014-05-06	13:14:18	00:00.0	HR	0000_0000000174764573	A1	1	2704
D	2014-05-06	13:24:15	00:00.0	HR	0000_0000000174764573	A1	1	2703
D	2014-05-06	13:34:13	00:00.0	HR	0000_0000000174764573	A1	1	2704
D	2014-05-06	13:44:10	00:00.0	HR	0000_0000000174764573	A1	1	2704
D	2014-05-06	13:54:08	00:00.0	HR	0000_0000000174764573	A1	1	2703
D	2014-05-06	14:04:05	00:00.0	HR	0000_0000000174764573	A1	1	2704
D	2014-05-06	14:14:02	00:00.0	HR	0000_0000000174764573	A1	1	2703
D	2014-05-06	14:23:59	00:00.0	HR	0000_0000000174764573	A1	1	2703
D	2014-05-06	14:33:57	00:00.0	HR	0000_0000000174764573	A1	1	2702
D	2014-05-06	14:43:53	00:00.0	HR	0000_0000000174764573	A1	1	2701
D	2014-05-06	14:53:50	00:00.0	HR	0000_0000000174764573	A1	1	2700
D	2014-05-06	14:58:00	00:00.0	HA	900_226000135167	A1	1	1132
D	2014-05-06	15:03:47	00:00.2	HR	0000_0000000174764573	A1	2	1567
D	2014-05-06	15:08:48	00:00.4	HA	900_226000135167	A1	3	1362
D	2014-05-06	15:13:43	00:00.0	HR	0000_0000000174764573	A1	1	1334
D	2014-05-06	15:18:13	00:00.7	HA	900_226000135167	A1	4	1223
D	2014-05-06	15:18:16	00:00.0	HA	900_226000135167	A1	1	6
D	2014-05-06	15:23:39	00:00.0	HR	0000_0000000174764573	A1	1	1465
D	2014-05-06	15:33:36	00:00.0	HR	0000_0000000174764573	A1	1	2699
D	2014-05-06	15:43:32	00:00.0	HR	0000_0000000174764573	A1	1	2698
D	2014-05-06	15:53:28	00:00.0	HR	0000_0000000174764573	A1	1	2699
D	2014-05-06	16:03:25	00:00.0	HR	0000_0000000174764573	A1	1	2699
D	2014-05-06	16:13:21	00:00.0	HR	0000_0000000174764573	A1	1	2699
D	2014-05-06	16:23:17	00:00.0	HR	0000_0000000174764573	A1	1	2698
D	2014-05-06	16:33:13	00:00.0	HR	0000_0000000174764573	A1	1	2698
D	2014-05-06	16:43:10	00:00.0	HR	0000_0000000174764573	A1	1	2699
D	2014-05-06	16:53:06	00:00.0	HR	0000_0000000174764573	A1	1	2698
D	2014-05-06	16:57:05	00:01.1	HA	900_226000137678	A2	6	.
D	2014-05-06	16:57:23	00:00.0	HA	900_226000137678	A2	1	74
D	2014-05-06	17:03:02	00:00.0	HR	0000_0000000174764573	A1	1	2698
D	2014-05-06	17:12:58	00:00.0	HR	0000_0000000174764573	A1	1	2698
D	2014-05-06	17:22:54	00:00.0	HR	0000_0000000174764573	A1	1	2697
D	2014-05-06	17:32:50	00:00.0	HR	0000_0000000174764573	A1	1	2698
D	2014-05-06	17:42:46	00:00.0	HR	0000_0000000174764573	A1	1	2697
D	2014-05-06	17:52:43	00:00.0	HR	0000_0000000174764573	A1	1	2698
D	2014-05-06	18:02:38	00:00.0	HR	0000_0000000174764573	A1	1	2697
D	2014-05-06	18:12:34	00:00.0	HR	0000_0000000174764573	A1	1	2697
D	2014-05-06	18:22:30	00:00.0	HR	0000_0000000174764573	A1	1	2697
D	2014-05-06	18:32:26	00:00.0	HR	0000_0000000174764573	A1	1	2697
D	2014-05-06	18:42:22	00:00.0	HR	0000_0000000174764573	A1	1	2697
D	2014-05-06	18:52:18	00:00.0	HR	0000_0000000174764573	A1	1	2697
D	2014-05-06	19:02:14	00:00.0	HR	0000_0000000174764573	A1	1	2697
D	2014-05-06	19:12:10	00:00.0	HR	0000_0000000174764573	A1	1	2696
D	2014-05-06	19:22:06	00:00.0	HR	0000_0000000174764573	A1	1	2697
D	2014-05-06	19:32:01	00:00.0	HR	0000_0000000174764573	A1	1	2696
D	2014-05-06	19:41:57	00:00.0	HR	0000_0000000174764573	A1	1	2696
D	2014-05-06	19:51:53	00:00.0	HR	0000_0000000174764573	A1	1	2696
D	2014-05-06	20:01:49	00:00.0	HR	0000_0000000174764573	A1	1	2696
D	2014-05-06	20:11:44	00:00.0	HR	0000_0000000174764573	A1	1	2695
D	2014-05-06	20:21:40	00:00.0	HR	0000_0000000174764573	A1	1	2696
D	2014-05-06	20:31:35	00:00.0	HR	0000_0000000174764573	A1	1	2695
D	2014-05-06	20:41:31	00:00.0	HR	0000_0000000174764573	A1	1	2695
D	2014-05-06	20:51:26	00:00.0	HR	0000_0000000174764573	A1	1	2695
D	2014-05-06	21:01:22	00:00.0	HR	0000_0000000174764573	A1	1	2696
D	2014-05-06	21:11:17	00:00.0	HR	0000_0000000174764573	A1	1	2695
D	2014-05-06	21:21:13	00:00.0	HR	0000_0000000174764573	A1	1	2695
D	2014-05-06	21:31:08	00:00.0	HR	0000_0000000174764573	A1	1	2695
D	2014-05-06	21:41:04	00:00.0	HR	0000_0000000174764573	A1	1	2695
D	2014-05-06	21:50:59	00:00.0	HR	0000_0000000174764573	A1	1	2695
D	2014-05-06	22:00:55	00:00.0	HR	0000_0000000174764573	A1	1	2695
D	2014-05-06	22:10:50	00:00.0	HR	0000_0000000174764573	A1	1	2695
D	2014-05-06	22:20:46	00:00.0	HR	0000_0000000174764573	A1	1	2694
D	2014-05-06	22:30:41	00:00.0	HR	0000_0000000174764573	A1	1	2695
D	2014-05-06	22:40:37	00:00.0	HR	0000_0000000174764573	A1	1	2695
D	2014-05-06	22:50:32	00:00.0	HR	0000_0000000174764573	A1	1	2695
D	2014-05-06	23:00:28	00:00.0	HR	0000_0000000174764573	A1	1	2695
D	2014-05-06	23:10:23	00:00.0	HR	0000_0000000174764573	A1	1	2695
D	2014-05-06	23:20:19	00:00.0	HR	0000_0000000174764573	A1	1	2694
D	2014-05-06	23:30:14	00:00.0	HR	0000_0000000174764573	A1	1	2695
D	2014-05-06	23:40:10	00:00.0	HR	0000_0000000174764573	A1	1	2695
D	2014-05-06	23:50:05	00:00.0	HR	0000_0000000174764573	A1	1	2694
D	2014-05-07	0:00:00	00:00.0	HR	0000_0000000174764573	A1	1	2695
D	2014-05-07	0:09:56	00:00.0	HR	0000_0000000174764573	A1	1	2694
D	2014-05-07	0:19:51	00:00.0	HR	0000_0000000174764573	A1	1	2694
D	2014-05-07	0:29:46	00:00.0	HR	0000_0000000174764573	A1	1	2694
D	2014-05-07	0:39:42	00:00.0	HR	0000_0000000174764573	A1	1	2695
D	2014-05-07	0:49:37	00:00.0	HR	0000_0000000174764573	A1	1	2695
D	2014-05-07	0:59:33	00:00.0	HR	0000_0000000174764573	A1	1	2694
D	2014-05-07	1:09:28	00:00.0	HR	0000_0000000174764573	A1	1	2695
D	2014-05-07	1:19:24	00:00.0	HR	0000_0000000174764573	A1	1	2695
D	2014-05-07	1:29:19	00:00.0	HR	0000_0000000174764573	A1	1	2694
