=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2014.05.09 08:40:39 =~=~=~=~=~=~=~=~=~=~=~=
UP
Type 'HE' for help

>UP
Upload #22
Reader: Noname  Site: AA
--------- upload 22 start ---------
Type	Date	Time	Duration	Type	Tag ID	Ant	Count	Gap
E	2014-05-07	10:29:02.29	upload 21 complete
D	2014-05-07	10:35:18.90	00:00:00.00	HR	0000_0000000174764573	A1	1	2699
D	2014-05-07	10:45:15.32	00:00:00.00	HR	0000_0000000174764573	A1	1	2699
D	2014-05-07	10:55:11.83	00:00:00.00	HR	0000_0000000174764573	A1	1	2699
E	2014-05-07	11:03:09.02	parameter change: mux sequence '1'
D	2014-05-07	11:05:08.46	00:00:00.11	HR	0000_0000000174764573	A1	2	3240
E	2014-05-07	11:05:50.22	supply power ok 12.0V
E	2014-05-07	11:05:50.22	database file opened
E	2014-05-07	11:05:50.22	starting reader after power up
E	2014-05-07	11:06:08.06	parameter change: mux sequence '1'
E	2014-05-07	11:06:57.84	parameter change: mux sequence '2'
E	2014-05-07	11:07:20.72	parameter change: mux sequence '1'
E	2014-05-07	11:10:35.38	parameter change: mux sequence '2'
E	2014-05-07	11:10:41.11	parameter change: mux sequence '12'
D	2014-05-07	11:11:55.18	00:00:00.00	HR	0000_0000000174764573	A1	1	2654
D	2014-05-07	11:15:25.53	00:00:00.00	HR	0000_0000000174764544	A2	1	1546
D	2014-05-07	11:15:29.51	00:00:00.00	HR	0000_0000000174764544	A2	1	17
D	2014-05-07	11:21:51.91	00:00:00.00	HR	0000_0000000174764573	A1	1	2701
D	2014-05-07	11:30:26.71	00:00:00.00	HR	0000_0000000174764544	A2	1	4061
D	2014-05-07	11:31:48.77	00:00:00.00	HR	0000_0000000174764573	A1	1	2701
D	2014-05-07	11:41:45.24	00:00:00.00	HR	0000_0000000174764573	A1	1	2699
D	2014-05-07	11:45:24.27	00:00:00.00	HR	0000_0000000174764544	A2	1	4062
D	2014-05-07	11:51:41.90	00:00:00.00	HR	0000_0000000174764573	A1	1	2700
D	2014-05-07	11:56:12.39	00:00:00.44	HA	900_226000137664	A2	3	2933
D	2014-05-07	11:56:17.04	00:00:00.00	HA	900_226000137664	A2	1	18
D	2014-05-07	11:56:32.94	00:00:00.00	HA	900_226000137664	A2	1	71
D	2014-05-07	12:00:21.15	00:00:00.00	HR	0000_0000000174764544	A2	1	1032
D	2014-05-07	12:00:40.15	00:00:00.22	HA	900_226000137664	A2	2	85
D	2014-05-07	12:01:38.35	00:00:00.00	HR	0000_0000000174764573	A1	1	2699
D	2014-05-07	12:11:34.79	00:00:00.00	HR	0000_0000000174764573	A1	1	2699
D	2014-05-07	12:15:17.77	00:00:00.00	HR	0000_0000000174764544	A2	1	3971
D	2014-05-07	12:21:31.19	00:00:00.00	HR	0000_0000000174764573	A1	1	2699
D	2014-05-07	12:30:14.62	00:00:00.00	HR	0000_0000000174764544	A2	1	4059
D	2014-05-07	12:31:27.63	00:00:00.00	HR	0000_0000000174764573	A1	1	2699
D	2014-05-07	12:41:23.82	00:00:00.00	HR	0000_0000000174764573	A1	1	2698
D	2014-05-07	12:45:10.79	00:00:00.00	HR	0000_0000000174764544	A2	1	4056
D	2014-05-07	12:51:20.23	00:00:00.00	HR	0000_0000000174764573	A1	1	2699
D	2014-05-07	13:00:06.51	00:00:00.00	HR	0000_0000000174764544	A2	1	4054
D	2014-05-07	13:01:16.42	00:00:00.00	HR	0000_0000000174764573	A1	1	2698
D	2014-05-07	13:07:56.58	00:00:00.88	HA	900_226000137678	A2	5	2127
D	2014-05-07	13:09:58.08	00:00:00.00	HA	900_226000137678	A2	1	545
D	2014-05-07	13:11:12.84	00:00:00.00	HR	0000_0000000174764573	A1	1	2699
D	2014-05-07	13:15:02.25	00:00:00.00	HR	0000_0000000174764544	A2	1	1376
D	2014-05-07	13:21:09.06	00:00:00.00	HR	0000_0000000174764573	A1	1	2698
D	2014-05-07	13:29:57.52	00:00:00.00	HR	0000_0000000174764544	A2	1	4052
D	2014-05-07	13:31:05.45	00:00:00.00	HR	0000_0000000174764573	A1	1	2699
D	2014-05-07	13:41:01.64	00:00:00.00	HR	0000_0000000174764573	A1	1	2698
D	2014-05-07	13:44:52.59	00:00:00.00	HR	0000_0000000174764544	A2	1	4051
D	2014-05-07	13:50:58.07	00:00:00.00	HR	0000_0000000174764573	A1	1	2699
D	2014-05-07	13:59:47.89	00:00:00.00	HR	0000_0000000174764544	A2	1	4052
D	2014-05-07	14:00:54.28	00:00:00.00	HR	0000_0000000174764573	A1	1	2698
D	2014-05-07	14:10:50.49	00:00:00.00	HR	0000_0000000174764573	A1	1	2698
D	2014-05-07	14:14:43.22	00:00:00.22	HR	0000_0000000174764544	A2	2	4052
D	2014-05-07	14:20:46.69	00:00:00.00	HR	0000_0000000174764573	A1	1	2698
D	2014-05-07	14:29:38.93	00:00:00.00	HR	0000_0000000174764544	A2	1	4053
D	2014-05-07	14:30:42.88	00:00:00.00	HR	0000_0000000174764573	A1	1	2698
D	2014-05-07	14:40:39.07	00:00:00.22	HR	0000_0000000174764573	A1	2	2698
D	2014-05-07	14:44:34.66	00:00:00.22	HR	0000_0000000174764544	A2	2	4054
D	2014-05-07	14:50:35.28	00:00:00.00	HR	0000_0000000174764573	A1	1	2697
D	2014-05-07	14:59:31.04	00:00:00.00	HR	0000_0000000174764544	A2	1	4056
D	2014-05-07	15:00:31.24	00:00:00.00	HR	0000_0000000174764573	A1	1	2697
D	2014-05-07	15:10:27.23	00:00:00.00	HR	0000_0000000174764573	A1	1	2697
D	2014-05-07	15:14:26.79	00:00:00.00	HR	0000_0000000174764544	A2	1	4054
D	2014-05-07	15:20:22.98	00:00:00.00	HR	0000_0000000174764573	A1	1	2696
D	2014-05-07	15:29:23.19	00:00:00.00	HR	0000_0000000174764544	A2	1	4057
D	2014-05-07	15:30:18.74	00:00:00.00	HR	0000_0000000174764573	A1	1	2696
D	2014-05-07	15:40:14.30	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-07	15:44:20.05	00:00:00.00	HR	0000_0000000174764544	A2	1	4059
D	2014-05-07	15:50:10.05	00:00:00.00	HR	0000_0000000174764573	A1	1	2696
D	2014-05-07	15:59:16.86	00:00:00.00	HR	0000_0000000174764544	A2	1	4059
D	2014-05-07	16:00:05.80	00:00:00.00	HR	0000_0000000174764573	A1	1	2696
D	2014-05-07	16:10:01.31	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-07	16:14:13.67	00:00:00.22	HR	0000_0000000174764544	A2	2	4059
D	2014-05-07	16:19:57.05	00:00:00.00	HR	0000_0000000174764573	A1	1	2696
D	2014-05-07	16:29:10.91	00:00:00.00	HR	0000_0000000174764544	A2	1	4060
D	2014-05-07	16:29:52.77	00:00:00.00	HR	0000_0000000174764573	A1	1	2696
D	2014-05-07	16:39:48.51	00:00:00.00	HR	0000_0000000174764573	A1	1	2696
D	2014-05-07	16:44:07.95	00:00:00.00	HR	0000_0000000174764544	A2	1	4060
D	2014-05-07	16:49:44.24	00:00:00.00	HR	0000_0000000174764573	A1	1	2696
D	2014-05-07	16:59:05.41	00:00:00.00	HR	0000_0000000174764544	A2	1	4062
D	2014-05-07	16:59:39.76	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-07	17:09:35.27	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-07	17:14:02.44	00:00:00.00	HR	0000_0000000174764544	A2	1	4060
D	2014-05-07	17:19:30.79	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-07	17:28:59.93	00:00:00.00	HR	0000_0000000174764544	A2	1	4062
D	2014-05-07	17:29:26.34	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-07	17:39:21.86	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-07	17:43:57.64	00:00:00.00	HR	0000_0000000174764544	A2	1	4063
D	2014-05-07	17:49:17.17	00:00:00.00	HR	0000_0000000174764573	A1	1	2694
D	2014-05-07	17:58:55.15	00:00:00.22	HR	0000_0000000174764544	A2	2	4062
D	2014-05-07	17:59:12.70	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-07	18:09:08.23	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-07	18:13:52.87	00:00:00.00	HR	0000_0000000174764544	A2	1	4062
D	2014-05-07	18:19:03.77	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-07	18:28:50.14	00:00:00.00	HR	0000_0000000174764544	A2	1	4061
D	2014-05-07	18:28:59.30	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-07	18:38:54.59	00:00:00.00	HR	0000_0000000174764573	A1	1	2694
D	2014-05-07	18:43:47.60	00:00:00.00	HR	0000_0000000174764544	A2	1	4062
D	2014-05-07	18:48:50.12	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-07	18:58:45.29	00:00:00.00	HR	0000_0000000174764544	A2	1	4063
D	2014-05-07	18:58:45.62	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-07	19:08:41.14	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-07	19:13:43.20	00:00:00.00	HR	0000_0000000174764544	A2	1	4064
D	2014-05-07	19:18:36.44	00:00:00.00	HR	0000_0000000174764573	A1	1	2694
D	2014-05-07	19:28:31.95	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-07	19:28:41.34	00:00:00.00	HR	0000_0000000174764544	A2	1	4065
D	2014-05-07	19:38:27.24	00:00:00.00	HR	0000_0000000174764573	A1	1	2694
D	2014-05-07	19:43:39.23	00:00:00.00	HR	0000_0000000174764544	A2	1	4064
D	2014-05-07	19:48:22.74	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-07	19:58:18.04	00:00:00.22	HR	0000_0000000174764573	A1	2	2694
D	2014-05-07	19:58:37.15	00:00:00.00	HR	0000_0000000174764544	A2	1	4064
D	2014-05-07	20:08:13.54	00:00:00.00	HR	0000_0000000174764573	A1	1	2694
D	2014-05-07	20:13:35.05	00:00:00.00	HR	0000_0000000174764544	A2	1	4064
D	2014-05-07	20:18:08.85	00:00:00.00	HR	0000_0000000174764573	A1	1	2694
D	2014-05-07	20:28:04.37	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-07	20:28:32.53	00:00:00.22	HR	0000_0000000174764544	A2	2	4062
D	2014-05-07	20:37:59.66	00:00:00.00	HR	0000_0000000174764573	A1	1	2694
D	2014-05-07	20:43:30.67	00:00:00.00	HR	0000_0000000174764544	A2	1	4064
D	2014-05-07	20:47:55.19	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-07	20:57:50.49	00:00:00.00	HR	0000_0000000174764573	A1	1	2694
D	2014-05-07	20:58:28.38	00:00:00.00	HR	0000_0000000174764544	A2	1	4063
