=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2014.05.30 08:36:50 =~=~=~=~=~=~=~=~=~=~=~=

Type 'HE' for help

>UP
Upload #28
Reader: Noname  Site: AA
--------- upload 28 start ---------
Type	Date	Time	Duration	Type	Tag ID	Ant	Count	Gap
E	2014-05-27	09:09:58.81	upload 27 complete
D	2014-05-27	09:16:39.89	00:00:00.00	HR	0000_0000000174764573	A1	1	2051
D	2014-05-27	09:22:57.97	00:00:00.00	HR	0000_0000000174764544	A2	1	3763
D	2014-05-27	09:26:36.77	00:00:00.00	HR	0000_0000000174764573	A1	1	2701
D	2014-05-27	09:36:33.90	00:00:00.00	HR	0000_0000000174764573	A1	1	2702
D	2014-05-27	09:37:52.86	00:00:00.00	HR	0000_0000000174764544	A2	1	4050
D	2014-05-27	09:46:30.79	00:00:00.00	HR	0000_0000000174764573	A1	1	2701
D	2014-05-27	09:52:47.57	00:00:00.00	HR	0000_0000000174764544	A2	1	4049
D	2014-05-27	09:56:27.50	00:00:00.00	HR	0000_0000000174764573	A1	1	2700
D	2014-05-27	10:06:24.59	00:00:00.00	HR	0000_0000000174764573	A1	1	2702
D	2014-05-27	10:07:42.03	00:00:00.00	HR	0000_0000000174764544	A2	1	4048
D	2014-05-27	10:16:21.49	00:00:00.00	HR	0000_0000000174764573	A1	1	2701
D	2014-05-27	10:22:36.25	00:00:00.00	HR	0000_0000000174764544	A2	1	4047
D	2014-05-27	10:26:18.82	00:00:00.00	HR	0000_0000000174764573	A1	1	2703
D	2014-05-27	10:36:15.97	00:00:00.00	HR	0000_0000000174764573	A1	1	2702
D	2014-05-27	10:37:30.31	00:00:00.00	HR	0000_0000000174764544	A2	1	4046
D	2014-05-27	10:46:13.11	00:00:00.00	HR	0000_0000000174764573	A1	1	2702
D	2014-05-27	10:52:24.37	00:00:00.00	HR	0000_0000000174764544	A2	1	4046
D	2014-05-27	10:56:10.05	00:00:00.00	HR	0000_0000000174764573	A1	1	2701
D	2014-05-27	11:06:06.96	00:00:00.00	HR	0000_0000000174764573	A1	1	2701
D	2014-05-27	11:07:18.21	00:00:00.00	HR	0000_0000000174764544	A2	1	4045
D	2014-05-27	11:16:03.67	00:00:00.00	HR	0000_0000000174764573	A1	1	2700
D	2014-05-27	11:22:11.62	00:00:00.00	HR	0000_0000000174764544	A2	1	4043
D	2014-05-27	11:25:59.96	00:00:00.00	HR	0000_0000000174764573	A1	1	2698
D	2014-05-27	11:35:56.49	00:00:00.00	HR	0000_0000000174764573	A1	1	2699
D	2014-05-27	11:37:05.30	00:00:00.00	HR	0000_0000000174764544	A2	1	4044
D	2014-05-27	11:45:53.45	00:00:00.00	HR	0000_0000000174764573	A1	1	2701
D	2014-05-27	11:51:59.21	00:00:00.00	HR	0000_0000000174764544	A2	1	4045
D	2014-05-27	11:55:50.43	00:00:00.00	HR	0000_0000000174764573	A1	1	2701
D	2014-05-27	12:05:46.95	00:00:00.00	HR	0000_0000000174764573	A1	1	2699
D	2014-05-27	12:06:52.68	00:00:00.00	HR	0000_0000000174764544	A2	1	4043
D	2014-05-27	12:15:43.47	00:00:00.00	HR	0000_0000000174764573	A1	1	2699
D	2014-05-27	12:21:45.71	00:00:00.00	HR	0000_0000000174764544	A2	1	4041
D	2014-05-27	12:25:40.25	00:00:00.00	HR	0000_0000000174764573	A1	1	2700
D	2014-05-27	12:35:36.78	00:00:00.00	HR	0000_0000000174764573	A1	1	2699
D	2014-05-27	12:36:38.54	00:00:00.00	HR	0000_0000000174764544	A2	1	4040
D	2014-05-27	12:45:33.34	00:00:00.00	HR	0000_0000000174764573	A1	1	2699
D	2014-05-27	12:51:31.37	00:00:00.00	HR	0000_0000000174764544	A2	1	4040
D	2014-05-27	12:55:29.87	00:00:00.00	HR	0000_0000000174764573	A1	1	2699
D	2014-05-27	13:05:26.43	00:00:00.00	HR	0000_0000000174764573	A1	1	2699
D	2014-05-27	13:06:24.21	00:00:00.00	HR	0000_0000000174764544	A2	1	4040
D	2014-05-27	13:15:22.75	00:00:00.00	HR	0000_0000000174764573	A1	1	2698
D	2014-05-27	13:21:17.27	00:00:00.00	HR	0000_0000000174764544	A2	1	4041
D	2014-05-27	13:25:19.11	00:00:00.00	HR	0000_0000000174764573	A1	1	2698
D	2014-05-27	13:35:15.23	00:00:00.00	HR	0000_0000000174764573	A1	1	2697
D	2014-05-27	13:36:10.36	00:00:00.00	HR	0000_0000000174764544	A2	1	4041
D	2014-05-27	13:45:11.15	00:00:00.00	HR	0000_0000000174764573	A1	1	2696
D	2014-05-27	13:51:03.68	00:00:00.00	HR	0000_0000000174764544	A2	1	4042
D	2014-05-27	13:55:07.26	00:00:00.00	HR	0000_0000000174764573	A1	1	2697
D	2014-05-27	14:05:03.18	00:00:00.00	HR	0000_0000000174764573	A1	1	2696
D	2014-05-27	14:05:57.20	00:00:00.00	HR	0000_0000000174764544	A2	1	4043
D	2014-05-27	14:14:59.10	00:00:00.00	HR	0000_0000000174764573	A1	1	2696
D	2014-05-27	14:20:50.30	00:00:00.00	HR	0000_0000000174764544	A2	1	4041
D	2014-05-27	14:24:55.23	00:00:00.00	HR	0000_0000000174764573	A1	1	2697
D	2014-05-27	14:34:51.34	00:00:00.00	HR	0000_0000000174764573	A1	1	2697
D	2014-05-27	14:35:42.50	00:00:00.00	HR	0000_0000000174764544	A2	1	4037
D	2014-05-27	14:44:47.26	00:00:00.00	HR	0000_0000000174764573	A1	1	2696
D	2014-05-27	14:50:35.21	00:00:00.00	HR	0000_0000000174764544	A2	1	4039
D	2014-05-27	14:54:43.48	00:00:00.00	HR	0000_0000000174764573	A1	1	2697
D	2014-05-27	15:04:39.45	00:00:00.00	HR	0000_0000000174764573	A1	1	2696
D	2014-05-27	15:05:28.39	00:00:00.00	HR	0000_0000000174764544	A2	1	4041
D	2014-05-27	15:14:35.63	00:00:00.00	HR	0000_0000000174764573	A1	1	2697
D	2014-05-27	15:20:21.80	00:00:00.00	HR	0000_0000000174764544	A2	1	4042
D	2014-05-27	15:24:31.60	00:00:00.00	HR	0000_0000000174764573	A1	1	2696
D	2014-05-27	15:34:27.56	00:00:00.00	HR	0000_0000000174764573	A1	1	2696
D	2014-05-27	15:35:15.17	00:00:00.00	HR	0000_0000000174764544	A2	1	4042
D	2014-05-27	15:44:23.51	00:00:00.22	HR	0000_0000000174764573	A1	2	2696
D	2014-05-27	15:50:08.30	00:00:00.00	HR	0000_0000000174764544	A2	1	4041
D	2014-05-27	15:54:19.64	00:00:00.00	HR	0000_0000000174764573	A1	1	2696
D	2014-05-27	16:04:15.84	00:00:00.00	HR	0000_0000000174764573	A1	1	2697
D	2014-05-27	16:05:01.48	00:00:00.00	HR	0000_0000000174764544	A2	1	4041
D	2014-05-27	16:14:12.09	00:00:00.00	HR	0000_0000000174764573	A1	1	2697
D	2014-05-27	16:19:54.92	00:00:00.22	HR	0000_0000000174764544	A2	2	4042
D	2014-05-27	16:24:08.05	00:00:00.00	HR	0000_0000000174764573	A1	1	2696
D	2014-05-27	16:34:04.20	00:00:00.00	HR	0000_0000000174764573	A1	1	2697
D	2014-05-27	16:34:48.50	00:00:00.00	HR	0000_0000000174764544	A2	1	4042
D	2014-05-27	16:44:00.14	00:00:00.00	HR	0000_0000000174764573	A1	1	2696
D	2014-05-27	16:49:42.09	00:00:00.00	HR	0000_0000000174764544	A2	1	4043
D	2014-05-27	16:53:56.08	00:00:00.00	HR	0000_0000000174764573	A1	1	2696
D	2014-05-27	17:03:52.03	00:00:00.00	HR	0000_0000000174764573	A1	1	2696
D	2014-05-27	17:04:35.67	00:00:00.00	HR	0000_0000000174764544	A2	1	4043
D	2014-05-27	17:13:47.96	00:00:00.00	HR	0000_0000000174764573	A1	1	2696
D	2014-05-27	17:19:29.49	00:00:00.00	HR	0000_0000000174764544	A2	1	4044
D	2014-05-27	17:23:43.73	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-27	17:33:39.72	00:00:00.00	HR	0000_0000000174764573	A1	1	2696
D	2014-05-27	17:34:23.15	00:00:00.00	HR	0000_0000000174764544	A2	1	4043
D	2014-05-27	17:43:35.49	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-27	17:49:16.98	00:00:00.00	HR	0000_0000000174764544	A2	1	4044
D	2014-05-27	17:53:31.21	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-27	18:03:26.92	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-27	18:04:11.01	00:00:00.00	HR	0000_0000000174764544	A2	1	4045
D	2014-05-27	18:13:22.64	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-27	18:19:04.81	00:00:00.00	HR	0000_0000000174764544	A2	1	4044
D	2014-05-27	18:23:18.36	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-27	18:33:14.09	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-27	18:33:58.83	00:00:00.00	HR	0000_0000000174764544	A2	1	4045
D	2014-05-27	18:43:09.79	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-27	18:48:52.61	00:00:00.00	HR	0000_0000000174764544	A2	1	4044
D	2014-05-27	18:53:05.50	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-27	19:03:01.00	00:00:00.00	HR	0000_0000000174764573	A1	1	2694
D	2014-05-27	19:03:46.83	00:00:00.23	HR	0000_0000000174764544	A2	2	4046
D	2014-05-27	19:12:56.69	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-27	19:18:41.26	00:00:00.00	HR	0000_0000000174764544	A2	1	4046
D	2014-05-27	19:22:52.37	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-27	19:32:48.00	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-27	19:33:35.83	00:00:00.00	HR	0000_0000000174764544	A2	1	4048
D	2014-05-27	19:42:43.64	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-27	19:48:30.82	00:00:00.00	HR	0000_0000000174764544	A2	1	4050
D	2014-05-27	19:52:39.25	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-27	20:02:34.86	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-27	20:03:25.78	00:00:00.23	HR	0000_0000000174764544	A2	2	4050
D	2014-05-27	20:12:30.46	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-27	20:18:20.94	00:00:00.00	HR	0000_0000000174764544	A2	1	4050
D	2014-05-27	20:22:26.04	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-27	20:32:21.64	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-27	20:33:15.88	00:00:00.00	HR	0000_0000000174764544	A2	1	4050
D	2014-05-27	20:42:17.05	00:00:00.00	HR	0000_0000000174764573	A1	1	2694
D	2014-05-27	20:48:11.08	00:00:00.00	HR	0000_0000000174764544	A2	1	4051
D	2014-05-27	20:52:12.66	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-27	21:02:08.26	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-27	21:03:06.27	00:00:00.00	HR	0000_0000000174764544	A2	1	4051
D	2014-05-27	21:12:03.87	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-27	21:18:01.23	00:00:00.00	HR	0000_0000000174764544	A2	1	4050
D	2014-05-27	21:21:59.28	00:00:00.00	HR	0000_0000000174764573	A1	1	2694
D	2014-05-27	21:31:54.89	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-27	21:32:56.41	00:00:00.00	HR	0000_0000000174764544	A2	1	4051
D	2014-05-27	21:41:50.27	00:00:00.00	HR	0000_0000000174764573	A1	1	2694
D	2014-05-27	21:47:51.82	00:00:00.00	HR	0000_0000000174764544	A2	1	4052
D	2014-05-27	21:51:45.88	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-27	22:01:41.26	00:00:00.00	HR	0000_0000000174764573	A1	1	2694
D	2014-05-27	22:02:46.97	00:00:00.00	HR	0000_0000000174764544	A2	1	4051
D	2014-05-27	22:11:36.85	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-27	22:17:41.91	00:00:00.00	HR	0000_0000000174764544	A2	1	4050
D	2014-05-27	22:21:32.22	00:00:00.00	HR	0000_0000000174764573	A1	1	2694
D	2014-05-27	22:31:27.60	00:00:00.00	HR	0000_0000000174764573	A1	1	2694
D	2014-05-27	22:32:37.08	00:00:00.00	HR	0000_0000000174764544	A2	1	4051
D	2014-05-27	22:41:23.19	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-27	22:47:32.22	00:00:00.00	HR	0000_0000000174764544	A2	1	4051
D	2014-05-27	22:51:18.54	00:00:00.00	HR	0000_0000000174764573	A1	1	2694
D	2014-05-27	23:01:13.91	00:00:00.00	HR	0000_0000000174764573	A1	1	2694
D	2014-05-27	23:02:27.36	00:00:00.00	HR	0000_0000000174764544	A2	1	4051
D	2014-05-27	23:11:09.48	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-27	23:17:22.51	00:00:00.00	HR	0000_0000000174764544	A2	1	4051
D	2014-05-27	23:21:04.87	00:00:00.00	HR	0000_0000000174764573	A1	1	2694
D	2014-05-27	23:21:48.51	00:00:00.44	HA	900_226000515953	A2	3	1203
D	2014-05-27	23:21:54.92	00:00:00.00	HA	900_226000515953	A2	1	26
D	2014-05-27	23:31:00.26	00:00:00.00	HR	0000_0000000174764573	A1	1	2694
D	2014-05-27	23:32:18.13	00:00:00.00	HR	0000_0000000174764544	A2	1	2820
D	2014-05-27	23:40:55.61	00:00:00.00	HR	0000_0000000174764573	A1	1	2694
D	2014-05-27	23:47:13.48	00:00:00.00	HR	0000_0000000174764544	A2	1	4052
D	2014-05-27	23:50:51.20	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-28	00:00:46.34	00:00:00.22	HR	0000_0000000174764573	A1	2	2693
D	2014-05-28	00:02:09.07	00:00:00.00	HR	0000_0000000174764544	A2	1	4053
D	2014-05-28	00:10:41.69	00:00:00.00	HR	0000_0000000174764573	A1	1	2693
D	2014-05-28	00:17:04.41	00:00:00.00	HR	0000_0000000174764544	A2	1	4052
D	2014-05-28	00:20:37.04	00:00:00.00	HR	0000_0000000174764573	A1	1	2694
D	2014-05-28	00:30:32.41	00:00:00.00	HR	0000_0000000174764573	A1	1	2694
D	2014-05-28	00:31:59.56	00:00:00.00	HR	0000_0000000174764544	A2	1	4051
D	2014-05-28	00:40:27.77	00:00:00.00	HR	0000_0000000174764573	A1	1	2694
D	2014-05-28	00:46:55.14	00:00:00.00	HR	0000_0000000174764544	A2	1	4053
D	2014-05-28	00:50:23.14	00:00:00.00	HR	0000_0000000174764573	A1	1	2694
D	2014-05-28	01:00:18.50	00:00:00.00	HR	0000_0000000174764573	A1	1	2694
D	2014-05-28	01:01:50.30	00:00:00.00	HR	0000_0000000174764544	A2	1	4051
D	2014-05-28	01:10:13.86	00:00:00.00	HR	0000_0000000174764573	A1	1	2694
D	2014-05-28	01:16:45.45	00:00:00.00	HR	0000_0000000174764544	A2	1	4051
D	2014-05-28	01:20:09.45	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-28	01:30:04.81	00:00:00.00	HR	0000_0000000174764573	A1	1	2694
D	2014-05-28	01:31:41.03	00:00:00.00	HR	0000_0000000174764544	A2	1	4053
D	2014-05-28	01:39:59.99	00:00:00.00	HR	0000_0000000174764573	A1	1	2693
D	2014-05-28	01:46:36.20	00:00:00.00	HR	0000_0000000174764544	A2	1	4051
D	2014-05-28	01:49:55.35	00:00:00.00	HR	0000_0000000174764573	A1	1	2694
D	2014-05-28	01:59:50.71	00:00:00.00	HR	0000_0000000174764573	A1	1	2694
D	2014-05-28	02:01:31.78	00:00:00.00	HR	0000_0000000174764544	A2	1	4053
D	2014-05-28	02:09:46.10	00:00:00.00	HR	0000_0000000174764573	A1	1	2694
D	2014-05-28	02:16:26.96	00:00:00.00	HR	0000_0000000174764544	A2	1	4051
D	2014-05-28	02:19:41.47	00:00:00.00	HR	0000_0000000174764573	A1	1	2694
D	2014-05-28	02:29:36.85	00:00:00.00	HR	0000_0000000174764573	A1	1	2694
D	2014-05-28	02:31:22.34	00:00:00.00	HR	0000_0000000174764544	A2	1	4052
D	2014-05-28	02:39:32.22	00:00:00.00	HR	0000_0000000174764573	A1	1	2694
D	2014-05-28	02:46:17.72	00:00:00.00	HR	0000_0000000174764544	A2	1	4052
D	2014-05-28	02:49:27.59	00:00:00.00	HR	0000_0000000174764573	A1	1	2694
D	2014-05-28	02:59:22.96	00:00:00.00	HR	0000_0000000174764573	A1	1	2694
D	2014-05-28	03:01:13.09	00:00:00.00	HR	0000_0000000174764544	A2	1	4052
D	2014-05-28	03:09:18.32	00:00:00.00	HR	0000_0000000174764573	A1	1	2694
D	2014-05-28	03:16:08.25	00:00:00.00	HR	0000_0000000174764544	A2	1	4051
D	2014-05-28	03:19:13.50	00:00:00.00	HR	0000_0000000174764573	A1	1	2693
