=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2014.06.06 08:16:36 =~=~=~=~=~=~=~=~=~=~=~=

Type 'HE' for help

>up
Upload #30
Reader: Noname  Site: AA
--------- upload 30 start ---------
Type	Date	Time	Duration	Type	Tag ID	Ant	Count	Gap
E	2014-06-03	09:30:40.76	upload 29 complete
E	2014-06-03	09:33:14.60	supply power ok 12.1V
E	2014-06-03	09:33:14.60	database file opened
E	2014-06-03	09:33:14.60	starting reader after power up
D	2014-06-03	09:34:56.66	00:00:00.00	HR	0000_0000000174764573	A1	1	434
D	2014-06-03	09:34:59.20	00:00:00.00	HR	0000_0000000174764544	A2	1	446
D	2014-06-03	09:44:53.75	00:00:00.00	HR	0000_0000000174764573	A1	1	2702
D	2014-06-03	09:49:54.27	00:00:00.00	HR	0000_0000000174764544	A2	1	4051
D	2014-06-03	09:54:50.61	00:00:00.00	HR	0000_0000000174764573	A1	1	2701
D	2014-06-03	10:04:47.48	00:00:00.22	HR	0000_0000000174764573	A1	2	2701
D	2014-06-03	10:04:49.15	00:00:00.00	HR	0000_0000000174764544	A2	1	4050
D	2014-06-03	10:14:44.62	00:00:00.00	HR	0000_0000000174764573	A1	1	2701
D	2014-06-03	10:19:44.09	00:00:00.00	HR	0000_0000000174764544	A2	1	4050
D	2014-06-03	10:24:41.78	00:00:00.00	HR	0000_0000000174764573	A1	1	2702
D	2014-06-03	10:34:38.91	00:00:00.00	HR	0000_0000000174764573	A1	1	2702
D	2014-06-03	10:34:39.02	00:00:00.00	HR	0000_0000000174764544	A2	1	4050
D	2014-06-03	10:44:36.02	00:00:00.00	HR	0000_0000000174764573	A1	1	2702
D	2014-06-03	10:49:33.69	00:00:00.00	HR	0000_0000000174764544	A2	1	4049
D	2014-06-03	10:54:33.14	00:00:00.00	HR	0000_0000000174764573	A1	1	2702
D	2014-06-03	11:04:28.39	00:00:00.00	HR	0000_0000000174764544	A2	1	4049
D	2014-06-03	11:04:30.48	00:00:00.00	HR	0000_0000000174764573	A1	1	2703
D	2014-06-03	11:14:27.63	00:00:00.00	HR	0000_0000000174764573	A1	1	2702
D	2014-06-03	11:19:22.89	00:00:00.00	HR	0000_0000000174764544	A2	1	4048
D	2014-06-03	11:24:25.00	00:00:00.00	HR	0000_0000000174764573	A1	1	2703
D	2014-06-03	11:34:17.44	00:00:00.00	HR	0000_0000000174764544	A2	1	4048
D	2014-06-03	11:34:22.18	00:00:00.00	HR	0000_0000000174764573	A1	1	2702
D	2014-06-03	11:44:19.36	00:00:00.00	HR	0000_0000000174764573	A1	1	2702
D	2014-06-03	11:49:11.98	00:00:00.00	HR	0000_0000000174764544	A2	1	4048
D	2014-06-03	11:54:16.31	00:00:00.00	HR	0000_0000000174764573	A1	1	2701
D	2014-06-03	12:04:06.09	00:00:00.00	HR	0000_0000000174764544	A2	1	4046
D	2014-06-03	12:04:13.48	00:00:00.00	HR	0000_0000000174764573	A1	1	2702
D	2014-06-03	12:14:10.47	00:00:00.00	HR	0000_0000000174764573	A1	1	2701
D	2014-06-03	12:18:59.79	00:00:00.00	HR	0000_0000000174764544	A2	1	4044
D	2014-06-03	12:24:07.22	00:00:00.00	HR	0000_0000000174764573	A1	1	2700
D	2014-06-03	12:33:53.03	00:00:00.00	HR	0000_0000000174764544	A2	1	4042
D	2014-06-03	12:34:03.96	00:00:00.00	HR	0000_0000000174764573	A1	1	2700
D	2014-06-03	12:44:00.74	00:00:00.00	HR	0000_0000000174764573	A1	1	2700
D	2014-06-03	12:48:45.64	00:00:00.00	HR	0000_0000000174764544	A2	1	4039
D	2014-06-03	12:53:57.52	00:00:00.00	HR	0000_0000000174764573	A1	1	2700
D	2014-06-03	13:03:38.25	00:00:00.00	HR	0000_0000000174764544	A2	1	4039
D	2014-06-03	13:03:54.28	00:00:00.00	HR	0000_0000000174764573	A1	1	2700
D	2014-06-03	13:13:51.05	00:00:00.00	HR	0000_0000000174764573	A1	1	2700
D	2014-06-03	13:18:30.44	00:00:00.00	HR	0000_0000000174764544	A2	1	4037
D	2014-06-03	13:23:47.61	00:00:00.00	HR	0000_0000000174764573	A1	1	2699
D	2014-06-03	13:33:22.43	00:00:00.00	HR	0000_0000000174764544	A2	1	4036
D	2014-06-03	13:33:44.41	00:00:00.00	HR	0000_0000000174764573	A1	1	2700
D	2014-06-03	13:43:41.00	00:00:00.00	HR	0000_0000000174764573	A1	1	2699
D	2014-06-03	13:48:14.01	00:00:00.00	HR	0000_0000000174764544	A2	1	4034
D	2014-06-03	13:53:37.59	00:00:00.00	HR	0000_0000000174764573	A1	1	2699
D	2014-06-03	14:03:06.64	00:00:00.00	HR	0000_0000000174764544	A2	1	4039
D	2014-06-03	14:03:33.92	00:00:00.00	HR	0000_0000000174764573	A1	1	2698
D	2014-06-03	14:13:30.50	00:00:00.00	HR	0000_0000000174764573	A1	1	2699
D	2014-06-03	14:17:58.63	00:00:00.00	HR	0000_0000000174764544	A2	1	4036
D	2014-06-03	14:23:26.82	00:00:00.00	HR	0000_0000000174764573	A1	1	2698
D	2014-06-03	14:32:51.20	00:00:00.00	HR	0000_0000000174764544	A2	1	4039
D	2014-06-03	14:33:23.13	00:00:00.00	HR	0000_0000000174764573	A1	1	2698
D	2014-06-03	14:43:19.69	00:00:00.00	HR	0000_0000000174764573	A1	1	2699
D	2014-06-03	14:47:43.40	00:00:00.00	HR	0000_0000000174764544	A2	1	4037
D	2014-06-03	14:53:16.03	00:00:00.00	HR	0000_0000000174764573	A1	1	2698
D	2014-06-03	15:02:35.59	00:00:00.00	HR	0000_0000000174764544	A2	1	4037
D	2014-06-03	15:03:12.37	00:00:00.00	HR	0000_0000000174764573	A1	1	2698
D	2014-06-03	15:13:08.72	00:00:00.00	HR	0000_0000000174764573	A1	1	2698
D	2014-06-03	15:17:26.69	00:00:00.00	HR	0000_0000000174764544	A2	1	4032
D	2014-06-03	15:23:05.07	00:00:00.00	HR	0000_0000000174764573	A1	1	2698
D	2014-06-03	15:32:17.96	00:00:00.00	HR	0000_0000000174764544	A2	1	4033
D	2014-06-03	15:33:01.60	00:00:00.00	HR	0000_0000000174764573	A1	1	2699
D	2014-06-03	15:42:57.95	00:00:00.00	HR	0000_0000000174764573	A1	1	2698
D	2014-06-03	15:47:09.06	00:00:00.00	HR	0000_0000000174764544	A2	1	4032
D	2014-06-03	15:52:54.09	00:00:00.00	HR	0000_0000000174764573	A1	1	2697
D	2014-06-03	16:02:00.37	00:00:00.00	HR	0000_0000000174764544	A2	1	4033
D	2014-06-03	16:02:50.42	00:00:00.00	HR	0000_0000000174764573	A1	1	2698
D	2014-06-03	16:12:46.76	00:00:00.00	HR	0000_0000000174764573	A1	1	2698
D	2014-06-03	16:16:53.24	00:00:00.00	HR	0000_0000000174764544	A2	1	4040
D	2014-06-03	16:22:43.10	00:00:00.00	HR	0000_0000000174764573	A1	1	2698
D	2014-06-03	16:31:46.72	00:00:00.00	HR	0000_0000000174764544	A2	1	4043
D	2014-06-03	16:32:39.42	00:00:00.00	HR	0000_0000000174764573	A1	1	2698
D	2014-06-03	16:42:35.71	00:00:00.00	HR	0000_0000000174764573	A1	1	2698
D	2014-06-03	16:46:40.42	00:00:00.00	HR	0000_0000000174764544	A2	1	4044
D	2014-06-03	16:52:31.83	00:00:00.00	HR	0000_0000000174764573	A1	1	2697
D	2014-06-03	17:01:34.34	00:00:00.00	HR	0000_0000000174764544	A2	1	4045
D	2014-06-03	17:02:27.93	00:00:00.00	HR	0000_0000000174764573	A1	1	2697
D	2014-06-03	17:12:24.04	00:00:00.00	HR	0000_0000000174764573	A1	1	2697
D	2014-06-03	17:16:28.73	00:00:00.00	HR	0000_0000000174764544	A2	1	4047
D	2014-06-03	17:22:19.72	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-06-03	17:31:23.11	00:00:00.00	HR	0000_0000000174764544	A2	1	4047
D	2014-06-03	17:32:15.80	00:00:00.00	HR	0000_0000000174764573	A1	1	2697
D	2014-06-03	17:42:11.47	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-06-03	17:46:17.70	00:00:00.00	HR	0000_0000000174764544	A2	1	4048
D	2014-06-03	17:52:07.53	00:00:00.00	HR	0000_0000000174764573	A1	1	2697
D	2014-06-03	18:01:12.44	00:00:00.00	HR	0000_0000000174764544	A2	1	4049
D	2014-06-03	18:02:03.15	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-06-03	18:11:58.71	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-06-03	18:16:07.34	00:00:00.00	HR	0000_0000000174764544	A2	1	4050
D	2014-06-03	18:21:54.24	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-06-03	18:31:02.39	00:00:00.00	HR	0000_0000000174764544	A2	1	4051
D	2014-06-03	18:31:49.77	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-06-03	18:41:45.29	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-06-03	18:45:57.23	00:00:00.00	HR	0000_0000000174764544	A2	1	4050
D	2014-06-03	18:51:40.82	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-06-03	19:00:52.30	00:00:00.00	HR	0000_0000000174764544	A2	1	4051
D	2014-06-03	19:01:36.36	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-06-03	19:11:32.12	00:00:00.00	HR	0000_0000000174764573	A1	1	2696
D	2014-06-03	19:15:47.34	00:00:00.00	HR	0000_0000000174764544	A2	1	4051
D	2014-06-03	19:21:27.64	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-06-03	19:30:42.23	00:00:00.00	HR	0000_0000000174764544	A2	1	4050
D	2014-06-03	19:31:23.21	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-06-03	19:41:18.75	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-06-03	19:45:37.54	00:00:00.00	HR	0000_0000000174764544	A2	1	4052
D	2014-06-03	19:51:14.31	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-06-03	20:00:32.66	00:00:00.00	HR	0000_0000000174764544	A2	1	4051
