=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2014.06.10 07:45:01 =~=~=~=~=~=~=~=~=~=~=~=


>

>up
Upload #31
Reader: Noname  Site: AA
--------- upload 31 start ---------
Type	Date	Time	Duration	Type	Tag ID	Ant	Count	Gap
E	2014-06-06	07:59:43.05	upload 30 complete
D	2014-06-06	08:05:50.59	00:00:00.00	HR	0000_0000000174764573	A1	1	2630
D	2014-06-06	08:11:14.10	00:00:00.00	HR	0000_0000000174764544	A2	1	4055
D	2014-06-06	08:15:47.05	00:00:00.00	HR	0000_0000000174764573	A1	1	2699
D	2014-06-06	08:25:43.27	00:00:00.00	HR	0000_0000000174764573	A1	1	2698
D	2014-06-06	08:26:10.11	00:00:00.00	HR	0000_0000000174764544	A2	1	4055
D	2014-06-06	08:35:39.75	00:00:00.00	HR	0000_0000000174764573	A1	1	2699
D	2014-06-06	08:41:06.16	00:00:00.00	HR	0000_0000000174764544	A2	1	4055
D	2014-06-06	08:45:36.01	00:00:00.00	HR	0000_0000000174764573	A1	1	2698
D	2014-06-06	08:55:32.49	00:00:00.00	HR	0000_0000000174764573	A1	1	2699
D	2014-06-06	08:56:01.98	00:00:00.00	HR	0000_0000000174764544	A2	1	4054
D	2014-06-06	09:05:29.19	00:00:00.00	HR	0000_0000000174764573	A1	1	2700
D	2014-06-06	09:10:57.56	00:00:00.00	HR	0000_0000000174764544	A2	1	4053
D	2014-06-06	09:15:26.10	00:00:00.00	HR	0000_0000000174764573	A1	1	2701
D	2014-06-06	09:25:23.04	00:00:00.00	HR	0000_0000000174764573	A1	1	2701
D	2014-06-06	09:25:53.41	00:00:00.00	HR	0000_0000000174764544	A2	1	4054
D	2014-06-06	09:35:19.74	00:00:00.00	HR	0000_0000000174764573	A1	1	2700
D	2014-06-06	09:40:49.03	00:00:00.00	HR	0000_0000000174764544	A2	1	4053
D	2014-06-06	09:45:16.46	00:00:00.00	HR	0000_0000000174764573	A1	1	2700
D	2014-06-06	09:55:13.41	00:00:00.00	HR	0000_0000000174764573	A1	1	2701
D	2014-06-06	09:55:44.66	00:00:00.00	HR	0000_0000000174764544	A2	1	4053
D	2014-06-06	10:05:10.13	00:00:00.00	HR	0000_0000000174764573	A1	1	2700
D	2014-06-06	10:10:40.50	00:00:00.00	HR	0000_0000000174764544	A2	1	4054
D	2014-06-06	10:15:06.82	00:00:00.00	HR	0000_0000000174764573	A1	1	2700
D	2014-06-06	10:25:03.76	00:00:00.00	HR	0000_0000000174764573	A1	1	2701
D	2014-06-06	10:25:35.91	00:00:00.00	HR	0000_0000000174764544	A2	1	4052
D	2014-06-06	10:35:00.67	00:00:00.00	HR	0000_0000000174764573	A1	1	2701
D	2014-06-06	10:40:31.28	00:00:00.00	HR	0000_0000000174764544	A2	1	4052
D	2014-06-06	10:44:57.59	00:00:00.00	HR	0000_0000000174764573	A1	1	2701
D	2014-06-06	10:54:54.51	00:00:00.00	HR	0000_0000000174764573	A1	1	2701
D	2014-06-06	10:55:26.88	00:00:00.00	HR	0000_0000000174764544	A2	1	4053
D	2014-06-06	11:04:51.44	00:00:00.00	HR	0000_0000000174764573	A1	1	2701
D	2014-06-06	11:10:22.05	00:00:00.00	HR	0000_0000000174764544	A2	1	4051
D	2014-06-06	11:14:48.57	00:00:00.00	HR	0000_0000000174764573	A1	1	2702
D	2014-06-06	11:24:45.71	00:00:00.00	HR	0000_0000000174764573	A1	1	2702
D	2014-06-06	11:25:17.40	00:00:00.00	HR	0000_0000000174764544	A2	1	4052
D	2014-06-06	11:34:42.62	00:00:00.00	HR	0000_0000000174764573	A1	1	2701
D	2014-06-06	11:40:12.77	00:00:00.00	HR	0000_0000000174764544	A2	1	4052
D	2014-06-06	11:44:39.31	00:00:00.00	HR	0000_0000000174764573	A1	1	2700
D	2014-06-06	11:54:35.99	00:00:00.00	HR	0000_0000000174764573	A1	1	2700
