=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2014.06.13 08:59:28 =~=~=~=~=~=~=~=~=~=~=~=


>up
Upload #32
Reader: Noname  Site: AA
--------- upload 32 start ---------
Type	Date	Time	Duration	Type	Tag ID	Ant	Count	Gap
E	2014-06-10	07:27:58.77	upload 31 complete
E	2014-06-10	07:28:25.61	supply power ok 12.1V
E	2014-06-10	07:28:25.61	database file opened
E	2014-06-10	07:28:25.61	starting reader after power up
D	2014-06-10	07:36:25.72	00:00:00.00	HR	0000_0000000174764573	A2	1	2144
D	2014-06-10	07:38:19.61	00:00:00.00	HR	0000_0000000174764544	A2	1	515
D	2014-06-10	07:46:21.13	00:00:00.00	HR	0000_0000000174764573	A1	1	4840
D	2014-06-10	07:53:14.59	00:00:00.00	HR	0000_0000000174764544	A2	1	4050
D	2014-06-10	07:56:16.52	00:00:00.00	HR	0000_0000000174764573	A1	1	2694
D	2014-06-10	08:06:11.92	00:00:00.00	HR	0000_0000000174764573	A1	1	2694
D	2014-06-10	08:08:09.13	00:00:00.22	HR	0000_0000000174764544	A2	2	4048
D	2014-06-10	08:16:07.32	00:00:00.00	HR	0000_0000000174764573	A1	1	2694
D	2014-06-10	08:23:04.11	00:00:00.00	HR	0000_0000000174764544	A2	1	4049
D	2014-06-10	08:26:02.50	00:00:00.00	HR	0000_0000000174764573	A1	1	2693
D	2014-06-10	08:35:57.91	00:00:00.00	HR	0000_0000000174764573	A1	1	2694
D	2014-06-10	08:37:58.64	00:00:00.00	HR	0000_0000000174764544	A2	1	4048
D	2014-06-10	08:45:53.51	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-06-10	08:52:52.92	00:00:00.00	HR	0000_0000000174764544	A2	1	4047
D	2014-06-10	08:55:48.88	00:00:00.00	HR	0000_0000000174764573	A1	1	2694
D	2014-06-10	09:05:44.30	00:00:00.22	HR	0000_0000000174764573	A1	2	2694
D	2014-06-10	09:07:47.68	00:00:00.00	HR	0000_0000000174764544	A2	1	4049
D	2014-06-10	09:15:39.90	00:00:00.00	HR	0000_0000000174764573	A1	1	2694
D	2014-06-10	09:22:42.44	00:00:00.00	HR	0000_0000000174764544	A2	1	4049
D	2014-06-10	09:25:35.31	00:00:00.00	HR	0000_0000000174764573	A1	1	2694
D	2014-06-10	09:35:31.15	00:00:00.00	HR	0000_0000000174764573	A1	1	2696
D	2014-06-10	09:37:36.95	00:00:00.00	HR	0000_0000000174764544	A2	1	4048
D	2014-06-10	09:45:26.81	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-06-10	09:52:31.36	00:00:00.00	HR	0000_0000000174764544	A2	1	4047
D	2014-06-10	09:55:22.72	00:00:00.00	HR	0000_0000000174764573	A1	1	2696
D	2014-06-10	10:05:18.39	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-06-10	10:07:25.55	00:00:00.00	HR	0000_0000000174764544	A2	1	4046
