=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2014.06.17 08:01:38 =~=~=~=~=~=~=~=~=~=~=~=
AD
Type 'HE' for help

>AD
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.16 Tx A1 1.02                         EA 0.47   12.1 V     3.3 V   07:43:36.72
Rx 0.16 Tx A1 1.01 A2 0.78                 EA 0.42   12.1 V     3.3 V   07:43:37.24
Rx 0.16 Tx A1 1.00 A2 0.79                 EA 0.42   12.1 V     3.3 V   07:43:37.75
Rx 0.16 Tx A1 1.01 A2 0.79                 EA 0.42   12.1 V     3.2 V   07:43:38.27
Rx 0.17 Tx A1 1.01 A2 0.79                 EA 0.43   12.1 V     3.2 V   07:43:38.78
Rx 0.16 Tx A1 1.00 A2 0.78                 EA 0.42   12.1 V     3.3 V   07:43:39.30

>UP
Upload #33
Reader: Noname  Site: AA
--------- upload 33 start ---------
Type	Date	Time	Duration	Type	Tag ID	Ant	Count	Gap
E	2014-06-13	08:41:56.81	upload 32 complete
D	2014-06-13	08:42:08.81	00:00:00.00	HR	0000_0000000174764573	A1	1	697
D	2014-06-13	08:44:02.90	00:00:00.00	HR	0000_0000000174764544	A2	1	1214
D	2014-06-13	08:58:57.38	00:00:00.00	HR	0000_0000000174764544	A2	1	4048
D	2014-06-13	09:13:51.83	00:00:00.00	HR	0000_0000000174764544	A2	1	4048
D	2014-06-13	09:28:46.49	00:00:00.00	HR	0000_0000000174764544	A2	1	4049
D	2014-06-13	09:43:40.74	00:00:00.00	HR	0000_0000000174764544	A2	1	4047
D	2014-06-13	09:58:34.81	00:00:00.00	HR	0000_0000000174764544	A2	1	4046
D	2014-06-13	10:13:29.30	00:00:00.00	HR	0000_0000000174764544	A2	1	4048
D	2014-06-13	10:28:23.57	00:00:00.00	HR	0000_0000000174764544	A2	1	4047
D	2014-06-13	10:43:17.60	00:00:00.00	HR	0000_0000000174764544	A2	1	4046
D	2014-06-13	10:58:11.89	00:00:00.00	HR	0000_0000000174764544	A2	1	4047
D	2014-06-13	11:13:05.78	00:00:00.00	HR	0000_0000000174764544	A2	1	4045
D	2014-06-13	11:27:59.89	00:00:00.00	HR	0000_0000000174764544	A2	1	4046
D	2014-06-13	11:42:54.20	00:00:00.00	HR	0000_0000000174764544	A2	1	4047
D	2014-06-13	11:57:48.51	00:00:00.00	HR	0000_0000000174764544	A2	1	4047
D	2014-06-13	12:12:42.36	00:00:00.00	HR	0000_0000000174764544	A2	1	4045
D	2014-06-13	12:27:36.21	00:00:00.00	HR	0000_0000000174764544	A2	1	4045
D	2014-06-13	12:42:29.44	00:00:00.00	HR	0000_0000000174764544	A2	1	4042
D	2014-06-13	12:57:22.73	00:00:00.00	HR	0000_0000000174764544	A2	1	4042
D	2014-06-13	13:12:15.59	00:00:00.00	HR	0000_0000000174764544	A2	1	4040
