=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2014.07.01 10:10:27 =~=~=~=~=~=~=~=~=~=~=~=

Type 'HE' for help

>y up
Upload #36
Reader: Noname  Site: AA
--------- upload 36 start ---------
Type	Date	Time	Duration	Type	Tag ID	Ant	Count	Gap
E	2014-06-24	08:38:12.66	upload 35 complete
D	2014-06-24	08:43:25.35	00:00:00.00	HR	0000_0000000174764573	A1	1	2104
D	2014-06-24	08:47:06.58	00:00:00.00	HR	0000_0000000174764544	A2	1	3106
D	2014-06-24	08:53:21.82	00:00:00.00	HR	0000_0000000174764573	A1	1	2699
D	2014-06-24	09:02:01.76	00:00:00.00	HR	0000_0000000174764544	A2	1	4051
D	2014-06-24	09:03:18.53	00:00:00.22	HR	0000_0000000174764573	A1	2	2700
D	2014-06-24	09:13:15.49	00:00:00.00	HR	0000_0000000174764573	A1	1	2700
D	2014-06-24	09:16:56.75	00:00:00.00	HR	0000_0000000174764544	A2	1	4050
D	2014-06-24	09:23:12.20	00:00:00.00	HR	0000_0000000174764573	A1	1	2700
D	2014-06-24	09:31:51.89	00:00:00.00	HR	0000_0000000174764544	A2	1	4051
D	2014-06-24	09:33:09.11	00:00:00.00	HR	0000_0000000174764573	A1	1	2701
D	2014-06-24	09:43:06.22	00:00:00.00	HR	0000_0000000174764573	A1	1	2702
D	2014-06-24	09:46:46.79	00:00:00.00	HR	0000_0000000174764544	A2	1	4050
D	2014-06-24	09:53:03.36	00:00:00.00	HR	0000_0000000174764573	A1	1	2702
D	2014-06-24	10:01:41.79	00:00:00.00	HR	0000_0000000174764544	A2	1	4050
D	2014-06-24	10:03:00.56	00:00:00.00	HR	0000_0000000174764573	A1	1	2702
D	2014-06-24	10:12:57.74	00:00:00.00	HR	0000_0000000174764573	A1	1	2702
D	2014-06-24	10:16:36.59	00:00:00.00	HR	0000_0000000174764544	A2	1	4049
D	2014-06-24	10:22:54.95	00:00:00.00	HR	0000_0000000174764573	A1	1	2702
D	2014-06-24	10:31:31.62	00:00:00.00	HR	0000_0000000174764544	A2	1	4050
D	2014-06-24	10:32:51.92	00:00:00.00	HR	0000_0000000174764573	A1	1	2701
D	2014-06-24	10:42:48.91	00:00:00.00	HR	0000_0000000174764573	A1	1	2701
D	2014-06-24	10:46:26.42	00:00:00.00	HR	0000_0000000174764544	A2	1	4049
D	2014-06-24	10:52:45.67	00:00:00.00	HR	0000_0000000174764573	A1	1	2700
D	2014-06-24	11:01:21.26	00:00:00.00	HR	0000_0000000174764544	A2	1	4049
D	2014-06-24	11:02:42.66	00:00:00.00	HR	0000_0000000174764573	A1	1	2701
D	2014-06-24	11:12:39.89	00:00:00.00	HR	0000_0000000174764573	A1	1	2702
D	2014-06-24	11:16:15.87	00:00:00.00	HR	0000_0000000174764544	A2	1	4048
D	2014-06-24	11:22:36.92	00:00:00.00	HR	0000_0000000174764573	A1	1	2701
D	2014-06-24	11:31:10.30	00:00:00.00	HR	0000_0000000174764544	A2	1	4047
D	2014-06-24	11:32:33.71	00:00:00.00	HR	0000_0000000174764573	A1	1	2700
D	2014-06-24	11:42:30.52	00:00:00.00	HR	0000_0000000174764573	A1	1	2700
D	2014-06-24	11:46:04.53	00:00:00.00	HR	0000_0000000174764544	A2	1	4046
D	2014-06-24	11:52:27.10	00:00:00.22	HR	0000_0000000174764573	A1	2	2699
D	2014-06-24	12:00:58.94	00:00:00.00	HR	0000_0000000174764544	A2	1	4047
D	2014-06-24	12:02:23.90	00:00:00.00	HR	0000_0000000174764573	A1	1	2699
D	2014-06-24	12:12:20.47	00:00:00.00	HR	0000_0000000174764573	A1	1	2699
D	2014-06-24	12:15:52.69	00:00:00.00	HR	0000_0000000174764544	A2	1	4044
D	2014-06-24	12:22:17.06	00:00:00.00	HR	0000_0000000174764573	A1	1	2699
D	2014-06-24	12:30:45.79	00:00:00.00	HR	0000_0000000174764544	A2	1	4041
D	2014-06-24	12:32:13.63	00:00:00.00	HR	0000_0000000174764573	A1	1	2699
D	2014-06-24	12:42:10.19	00:00:00.00	HR	0000_0000000174764573	A1	1	2699
D	2014-06-24	12:45:38.23	00:00:00.00	HR	0000_0000000174764544	A2	1	4038
D	2014-06-24	12:52:06.57	00:00:00.00	HR	0000_0000000174764573	A1	1	2698
D	2014-06-24	13:00:30.02	00:00:00.00	HR	0000_0000000174764544	A2	1	4035
D	2014-06-24	13:02:03.17	00:00:00.00	HR	0000_0000000174764573	A1	1	2699
D	2014-06-24	13:11:59.54	00:00:00.00	HR	0000_0000000174764573	A1	1	2698
D	2014-06-24	13:15:21.39	00:00:00.00	HR	0000_0000000174764544	A2	1	4033
D	2014-06-24	13:21:56.15	00:00:00.00	HR	0000_0000000174764573	A1	1	2699
D	2014-06-24	13:30:12.12	00:00:00.00	HR	0000_0000000174764544	A2	1	4030
D	2014-06-24	13:31:52.77	00:00:00.00	HR	0000_0000000174764573	A1	1	2699
D	2014-06-24	13:41:49.39	00:00:00.00	HR	0000_0000000174764573	A1	1	2699
D	2014-06-24	13:45:02.42	00:00:00.00	HR	0000_0000000174764544	A2	1	4028
D	2014-06-24	13:51:45.77	00:00:00.00	HR	0000_0000000174764573	A1	1	2698
D	2014-06-24	13:59:52.40	00:00:00.00	HR	0000_0000000174764544	A2	1	4027
D	2014-06-24	14:01:42.34	00:00:00.00	HR	0000_0000000174764573	A1	1	2699
D	2014-06-24	14:11:38.69	00:00:00.00	HR	0000_0000000174764573	A1	1	2698
D	2014-06-24	14:14:41.97	00:00:00.00	HR	0000_0000000174764544	A2	1	4025
D	2014-06-24	14:21:35.26	00:00:00.00	HR	0000_0000000174764573	A1	1	2699
D	2014-06-24	14:29:31.54	00:00:00.00	HR	0000_0000000174764544	A2	1	4025
D	2014-06-24	14:31:31.62	00:00:00.00	HR	0000_0000000174764573	A1	1	2698
D	2014-06-24	14:41:28.19	00:00:00.00	HR	0000_0000000174764573	A1	1	2699
D	2014-06-24	14:44:20.41	00:00:00.00	HR	0000_0000000174764544	A2	1	4022
D	2014-06-24	14:51:24.55	00:00:00.00	HR	0000_0000000174764573	A1	1	2698
D	2014-06-24	14:59:08.89	00:00:00.00	HR	0000_0000000174764544	A2	1	4020
D	2014-06-24	15:01:21.13	00:00:00.00	HR	0000_0000000174764573	A1	1	2699
D	2014-06-24	15:11:17.50	00:00:00.00	HR	0000_0000000174764573	A1	1	2698
D	2014-06-24	15:13:57.79	00:00:00.00	HR	0000_0000000174764544	A2	1	4022
D	2014-06-24	15:21:14.06	00:00:00.00	HR	0000_0000000174764573	A1	1	2699
D	2014-06-24	15:28:46.90	00:00:00.00	HR	0000_0000000174764544	A2	1	4023
D	2014-06-24	15:31:10.41	00:00:00.00	HR	0000_0000000174764573	A1	1	2698
D	2014-06-24	15:41:06.76	00:00:00.00	HR	0000_0000000174764573	A1	1	2698
D	2014-06-24	15:43:35.80	00:00:00.00	HR	0000_0000000174764544	A2	1	4022
D	2014-06-24	15:51:03.14	00:00:00.00	HR	0000_0000000174764573	A1	1	2698
D	2014-06-24	15:58:24.72	00:00:00.00	HR	0000_0000000174764544	A2	1	4022
D	2014-06-24	16:00:59.49	00:00:00.00	HR	0000_0000000174764573	A1	1	2698
D	2014-06-24	16:10:55.84	00:00:00.00	HR	0000_0000000174764573	A1	1	2698
D	2014-06-24	16:13:14.06	00:00:00.00	HR	0000_0000000174764544	A2	1	4024
D	2014-06-24	16:20:52.18	00:00:00.00	HR	0000_0000000174764573	A1	1	2698
D	2014-06-24	16:28:06.91	00:00:00.00	HR	0000_0000000174764544	A2	1	4040
D	2014-06-24	16:30:48.75	00:00:00.00	HR	0000_0000000174764573	A1	1	2699
D	2014-06-24	16:40:45.09	00:00:00.00	HR	0000_0000000174764573	A1	1	2698
D	2014-06-24	16:43:00.63	00:00:00.00	HR	0000_0000000174764544	A2	1	4044
D	2014-06-24	16:50:41.40	00:00:00.00	HR	0000_0000000174764573	A1	1	2698
D	2014-06-24	16:57:54.77	00:00:00.00	HR	0000_0000000174764544	A2	1	4046
D	2014-06-24	17:00:37.93	00:00:00.00	HR	0000_0000000174764573	A1	1	2699
D	2014-06-24	17:10:34.02	00:00:00.00	HR	0000_0000000174764573	A1	1	2697
D	2014-06-24	17:12:49.12	00:00:00.22	HR	0000_0000000174764544	A2	2	4047
D	2014-06-24	17:20:30.34	00:00:00.00	HR	0000_0000000174764573	A1	1	2698
D	2014-06-24	17:27:43.73	00:00:00.00	HR	0000_0000000174764544	A2	1	4047
D	2014-06-24	17:30:26.46	00:00:00.00	HR	0000_0000000174764573	A1	1	2697
D	2014-06-24	17:40:22.58	00:00:00.00	HR	0000_0000000174764573	A1	1	2697
D	2014-06-24	17:42:38.13	00:00:00.00	HR	0000_0000000174764544	A2	1	4047
D	2014-06-24	17:50:18.72	00:00:00.00	HR	0000_0000000174764573	A1	1	2697
D	2014-06-24	17:57:32.57	00:00:00.00	HR	0000_0000000174764544	A2	1	4047
D	2014-06-24	18:00:14.85	00:00:00.00	HR	0000_0000000174764573	A1	1	2697
D	2014-06-24	18:10:11.00	00:00:00.00	HR	0000_0000000174764573	A1	1	2697
D	2014-06-24	18:12:26.99	00:00:00.00	HR	0000_0000000174764544	A2	1	4047
D	2014-06-24	18:20:07.17	00:00:00.00	HR	0000_0000000174764573	A1	1	2697
D	2014-06-24	18:27:21.45	00:00:00.00	HR	0000_0000000174764544	A2	1	4047
D	2014-06-24	18:30:03.29	00:00:00.00	HR	0000_0000000174764573	A1	1	2697
D	2014-06-24	18:39:59.44	00:00:00.00	HR	0000_0000000174764573	A1	1	2697
D	2014-06-24	18:42:16.11	00:00:00.00	HR	0000_0000000174764544	A2	1	4048
D	2014-06-24	18:49:55.59	00:00:00.00	HR	0000_0000000174764573	A1	1	2697
D	2014-06-24	18:57:11.00	00:00:00.00	HR	0000_0000000174764544	A2	1	4049
