

upload #10 start: 05/03/2013 06:32:24.93
Site code: AA
--------- upload 10 start ---------
05/03/2013 06:32:24.93 upload 9 complete
05/03/2013 06:40:09.42 supply power ok 13.1V
05/03/2013 06:40:09.42 database file opened
05/03/2013 06:40:09.42 starting reader after power up
05/03/2013 06:49:28.54  00:00:00.00 R 0000_0000000174764544 A3    1  1667
05/03/2013 06:57:13.92  00:00:00.00 R 0000_0000000174764573 A1    1  4967
05/03/2013 07:04:16.67  00:00:00.00 A 900_226000135106 A3    1  2679
05/03/2013 07:07:33.86  00:00:00.00 A 900_226000135160 A3    1   594
05/03/2013 07:19:25.44  00:00:00.00 R 0000_0000000174764544 A3    1  2146
05/03/2013 07:27:23.05  00:00:00.00 A 900_226000135160 A3    1  1440
05/03/2013 07:27:33.32  00:00:00.00 A 900_226000135160 A3    1    30
05/03/2013 07:31:59.46  00:00:00.66 A 900_226000135160 A3    3   802
05/03/2013 07:34:23.63  00:00:00.00 R 0000_0000000174764544 A3    1   432
05/03/2013 07:43:45.96  00:00:00.00 R 0000_0000000180573686 A2    1  5964
05/03/2013 07:45:17.55  00:00:00.33 A 900_226000135160 A3    2  1972
05/03/2013 07:46:13.24  00:00:00.33 A 900_226000135160 A3    2   166
05/03/2013 07:49:21.80  00:00:00.00 R 0000_0000000174764544 A3    1   567
05/03/2013 07:52:56.90  00:00:00.00 A 900_226000135160 A3    1   648
05/03/2013 07:57:58.17  00:00:00.33 A 900_226000135160 A3    2   908
05/03/2013 07:58:48.00  00:00:00.00 R 0000_0000000174764573 A1    1 15704
05/03/2013 08:04:20.31  00:00:00.00 R 0000_0000000174764544 A3    1  1151
05/03/2013 08:13:43.31  00:00:00.00 R 0000_0000000180573686 A2    1  3571
05/03/2013 08:14:28.49  00:00:00.00 A 900_226000135160 A3    1  1834
05/03/2013 08:16:45.05  00:00:00.33 A 900_226000135106 A3    2   411
05/03/2013 08:16:47.03  00:00:00.00 A 900_226000135106 A3    1     4
05/03/2013 08:19:18.83  00:00:00.00 R 0000_0000000174764544 A3    1   457
05/03/2013 08:28:15.09  00:00:00.33 A 900_226000135106 A3    2  1617
05/03/2013 08:28:55.85  00:00:00.34 A 900_226000135106 A3    2   121
05/03/2013 08:28:56.85  00:00:00.00 A 900_226000135106 A3    1     1
05/03/2013 08:32:10.08  00:00:00.33 A 900_226000135160 A3    2   582
05/03/2013 08:32:21.36  00:00:00.33 A 900_226000135160 A3    2    32
05/03/2013 08:32:31.30  00:00:00.00 A 900_226000135160 A3    1    28
05/03/2013 08:32:40.25  00:00:00.00 A 900_226000135160 A3    1    26
05/03/2013 08:33:21.35  00:00:00.33 A 900_226000135160 A3    2   123
05/03/2013 08:38:01.40  00:00:01.00 A 900_226000135160 A3    4   841
05/03/2013 08:38:06.39  00:00:00.00 A 900_226000135160 A3    1    11
05/03/2013 08:38:21.63  00:00:01.00 A 900_226000135160 A3    4    45
05/03/2013 08:41:30.54  00:00:00.33 A 900_226000135160 A3    2   566
05/03/2013 08:50:41.70  00:00:00.33 A 900_226000135160 A3    2  1661
05/03/2013 09:00:21.47  00:00:00.00 R 0000_0000000174764573 A1    1 15262
05/03/2013 09:10:23.24  00:00:00.33 A 900_226000135160 A3    2  3563
05/03/2013 09:13:39.35  00:00:00.00 R 0000_0000000180573686 A2    1  6673
05/03/2013 09:19:11.86  00:00:00.00 R 0000_0000000174764544 A3    1  1593
05/03/2013 09:28:38.50  00:00:00.00 R 0000_0000000180573686 A2    1  1464
05/03/2013 09:31:07.84  00:00:00.00 R 0000_0000000174764573 A1    1  8044
05/03/2013 09:34:10.02  00:00:00.00 R 0000_0000000174764544 A3    1  2709
05/03/2013 09:42:39.09  00:00:00.00 A 900_226000135104 A3    1  1535
05/03/2013 09:43:37.64  00:00:00.00 R 0000_0000000180573686 A2    1  1367
05/03/2013 09:44:30.77  00:00:00.34 A 900_226000135160 A3    2   336
05/03/2013 09:49:08.51  00:00:00.00 R 0000_0000000174764544 A3    1   836
05/03/2013 09:58:36.77  00:00:00.00 R 0000_0000000180573686 A2    1  1352
05/03/2013 10:01:54.18  00:00:00.00 R 0000_0000000174764573 A1    1  8342
05/03/2013 10:04:06.64  00:00:00.00 R 0000_0000000174764544 A3    1  2709
05/03/2013 10:13:35.55  00:00:00.00 R 0000_0000000180573686 A2    1  1284
05/03/2013 10:28:34.01  00:00:00.00 R 0000_0000000180573686 A2    1  1169
05/03/2013 10:32:41.11  00:00:00.00 R 0000_0000000174764573 A1    1  8800
05/03/2013 10:35:55.84  00:00:00.00 A 900_226000135157 A3    1  5760
05/03/2013 10:43:32.40  00:00:00.00 R 0000_0000000180573686 A2    1   822
05/03/2013 10:43:41.47  00:00:00.99 A 900_226000135157 A3    4  1404
05/03/2013 10:43:49.09  00:00:00.00 A 900_226000135157 A3    1    19
05/03/2013 10:57:05.46  00:00:00.00 A 900_226000135160 A3    1  2402
05/03/2013 10:58:08.10  00:00:00.00 A 900_226000135160 A3    1   188
05/03/2013 10:58:47.21  00:00:00.00 A 900_226000135160 A3    1   117
05/03/2013 10:59:05.44  00:00:00.33 A 900_226000135160 A3    2    54
05/03/2013 10:59:14.72  00:00:00.00 A 900_226000135160 A3    1    26
05/03/2013 10:59:57.16  00:00:00.00 A 900_226000135160 A3    1   127
