=~=~=~=~=~=~=~=~=~=~=~=	PuTTY	log	2013.05.27	8:57:05	=~=~=~=~=~=~=~=~=~=~=~=										
UP															
															
Oregon	RFID	Datalogger	Version	'4.04	'										
Datalogger	functions														
	UP	upload	detection	records											
	UH	show	upload	history											
	UT	upload	time	records											
TagTracker	functions														
	EX	export	TagTracker	database											
	IM	import	TagTracker	database											
Reader	configuration														
	DT	set	date	and	time										
	FR	factory	reset	datalogger	and	reader									
	ON	set	automatic	on/off	times										
	CG	change	reader	settings											
	MX	enter	mux	sequence											
	MV	set	minimum	voltage	before	shutdown									
	DM	select	detection	messages	to	display									
	CO	enter	comment	to	log	file									
Performance	monitor														
	SS	show	scans	per	second	and	pulse	timings							
	AD	show	reader	"voltages,"	amperages										
	AV	calibrate	analog	voltage											
	RT	read	board	temperature											
	WR	write	tag	id											
															
>UP															
upload	#13	start:	22/05/2013	37:52.1											
Site	code:	AA													
---------	upload	13	start	---------											
05/22/2013	5:37:52	upload	12	complete											
05/22/2013	5:40:38	supply	power	ok	12.4V										
05/22/2013	5:40:38	database	file	opened											
05/22/2013	5:40:38	starting	reader	after	power	up									
05/22/2013	5:41:12	supply	power	ok	12.3V										
05/22/2013	5:41:12	database	file	opened											
05/22/2013	5:41:12	starting	reader	after	power	up									
05/22/2013	5:41:51	reader	startup	detected											
05/22/2013	5:43:21	00:00.0	R	0000_0000000174764544	A3	1	356								
05/22/2013	5:55:52	00:00.0	R	0000_0000000174764573	A1	1	2700								
05/22/2013	5:58:16	00:00.0	R	0000_0000000174764544	A3	1	2697								
05/22/2013	6:00:48	00:00.0	R	0000_0000000180573686	A2	1	3472								
05/22/2013	6:15:46	00:00.0	R	0000_0000000180573686	A2	1	2705								
05/22/2013	6:26:38	00:00.0	R	0000_0000000174764573	A1	1	5564								
05/22/2013	6:28:06	00:00.0	R	0000_0000000174764544	A3	1	5394								
05/22/2013	6:30:44	00:00.0	R	0000_0000000180573686	A2	1	2705								
05/22/2013	6:45:41	00:00.0	R	0000_0000000180573686	A2	1	2705								
05/22/2013	6:57:24	00:00.0	R	0000_0000000174764573	A1	1	5563								
05/22/2013	7:28:11	00:00.0	R	0000_0000000174764573	A1	1	5565								
05/22/2013	7:30:35	00:00.0	R	0000_0000000180573686	A2	1	8120								
05/22/2013	7:42:39	00:00.0	R	0000_0000000174764544	A3	1	13481								
05/22/2013	7:45:33	00:00.0	R	0000_0000000180573686	A2	1	2705								
05/22/2013	7:57:33	00:00.0	R	0000_0000000174764544	A3	1	2695								
05/22/2013	7:58:57	00:00.0	R	0000_0000000174764573	A1	1	5565								
05/22/2013	8:00:31	00:00.0	R	0000_0000000180573686	A2	1	2706								
05/22/2013	8:12:27	00:00.0	R	0000_0000000174764544	A3	1	2693								
05/22/2013	8:27:21	00:00.0	R	0000_0000000174764544	A3	1	2694								
05/22/2013	8:29:44	00:00.0	R	0000_0000000174764573	A1	1	5565								
05/22/2013	8:42:15	00:00.0	R	0000_0000000174764544	A3	1	2694								
05/22/2013	8:44:00	00:00.0	A	900_226000137633	A3	1	315								
05/22/2013	8:45:26	00:00.0	R	0000_0000000180573686	A2	1	8121								
05/22/2013	8:53:19	00:00.3	A	900_226000137602	A3	2	1683								
05/22/2013	8:53:53	00:00.3	A	900_226000137602	A3	2	102								
05/22/2013	8:54:13	00:00.0	A	900_226000137602	A3	1	58								
05/22/2013	8:54:38	00:00.0	A	900_226000137602	A3	1	74								
05/22/2013	8:54:41	00:00.0	A	900_226000137602	A3	1	6								
05/22/2013	8:55:34	00:00.0	A	900_226000137602	A3	1	159								
05/22/2013	8:55:36	00:00.0	A	900_226000137602	A3	1	6								
05/22/2013	8:56:18	00:00.0	A	900_226000137602	A3	1	125								
05/22/2013	8:56:42	00:00.0	A	900_226000137602	A3	1	73								
05/22/2013	8:57:09	00:00.0	R	0000_0000000174764544	A3	1	80								
05/22/2013	9:00:23	00:00.0	R	0000_0000000180573686	A2	1	2705								
05/22/2013	9:00:30	00:00.0	R	0000_0000000174764573	A1	1	5565								
05/22/2013	9:12:03	00:00.0	R	0000_0000000174764544	A3	1	2694								
05/22/2013	9:15:21	00:00.0	R	0000_0000000180573686	A2	1	2705								
05/22/2013	9:31:17	00:00.0	R	0000_0000000174764573	A1	1	5565								
05/22/2013	9:41:51	00:00.0	R	0000_0000000174764544	A3	1	5388								
05/22/2013	9:45:17	00:00.0	R	0000_0000000180573686	A2	1	5413								
05/22/2013	9:56:45	00:00.0	R	0000_0000000174764544	A3	1	2693								
05/22/2013	10:00:16	00:00.0	R	0000_0000000180573686	A2	1	2706								
05/22/2013	10:02:04	00:00.0	R	0000_0000000174764573	A1	1	5565								
05/22/2013	10:11:39	00:00.0	R	0000_0000000174764544	A3	1	2693								
05/22/2013	10:26:33	00:00.0	R	0000_0000000174764544	A3	1	2693								
05/22/2013	10:30:11	00:00.0	R	0000_0000000180573686	A2	1	5412								
05/22/2013	10:56:19	00:00.0	R	0000_0000000174764544	A3	1	5384								
05/22/2013	11:00:07	00:00.0	R	0000_0000000180573686	A2	1	5412								
05/22/2013	11:11:11	00:00.0	R	0000_0000000174764544	A3	1	2688								
