"","tag_code","antenna","date_time","interval","dummy","dummy_lead","dummy2"
"1","900_226000135103",2,2014-04-11 19:42:42,0,0,1,2
"2","900_226000135103",2,2014-04-11 19:43:20,38.4300000667572,1,0,2
"3","900_226000135103",2,2014-04-16 17:53:03,425383.00999999,0,1,2
"4","900_226000135103",2,2014-04-16 17:53:07,4.21000003814697,1,0,2
"5","900_226000135103",2,2014-05-03 12:06:02,1447974.04999995,0,1,2
"6","900_226000135103",2,2014-05-03 12:06:09,7,1,0,2
"7","900_226000135103",2,2014-05-03 12:10:15,246,0,1,2
"8","900_226000135103",2,2014-05-03 12:14:54,79,1,0,2
"9","900_226000135103",2,2014-05-03 12:20:10,316,0,1,2
"10","900_226000135103",2,2014-05-03 12:24:50,15,1,0,2
"11","900_226000135103",2,2014-05-03 12:29:10,260,0,0,2
"12","900_226000135103",2,2014-05-03 12:31:36,146,0,1,2
"13","900_226000135103",2,2014-05-03 12:32:10,34,1,0,2
"14","900_226000135104",2,2013-04-24 14:28:02,0,0,1,2
"15","900_226000135104",2,2013-04-24 14:28:51,6.65000009536743,1,0,2
"16","900_226000135104",2,2013-04-25 14:07:59,85147.7699999809,0,1,2
"17","900_226000135104",2,2013-04-25 14:10:36,100.740000009537,1,0,2
"18","900_226000135104",2,2013-04-26 15:04:59,89662.3599998951,0,1,2
"19","900_226000135104",2,2013-04-26 15:09:06,12.6000001430511,1,0,2
"20","900_226000135104",2,2013-04-30 09:12:04,324178.039999962,0,1,2
"21","900_226000135104",2,2013-04-30 09:12:44,9.62000012397766,1,0,2
"22","900_226000135106",2,2013-04-16 10:53:49,0,0,1,2
"23","900_226000135106",2,2013-04-16 10:53:50,1.09999990463257,1,0,2
"24","900_226000135106",2,2013-04-17 12:54:54,93663.9099998474,0,1,2
"25","900_226000135106",2,2013-04-17 12:55:09,14.8000001907349,1,0,2
"26","900_226000135106",2,2013-04-18 12:25:40,84630.9600000381,0,1,2
"27","900_226000135106",2,2013-04-18 12:26:05,25.4099998474121,1,0,2
