Date,Species,Length (mm),Weight (g),Age,Tag #
2013/04/09,Alosa pseudoharengus,228,,,226000135087
2013/04/09,Alosa pseudoharengus,259,,,226000135090
2013/04/09,Alosa pseudoharengus,253,,,226000135094
2013/04/11,Alosa pseudoharengus,227,125,,226000135081
2013/04/11,Alosa pseudoharengus,210,100,,226000135097
2013/04/11,Alosa pseudoharengus,232,125,,226000135098
2013/04/11,Alosa pseudoharengus,249,210,,226000135103
2013/04/11,Alosa pseudoharengus,227,150,,226000135106
2013/04/11,Alosa pseudoharengus,252,210,,226000135114
2013/04/11,Alosa pseudoharengus,226,125,,226000135117
2013/04/11,Alosa pseudoharengus,230,170,,226000135120
2013/04/11,Alosa pseudoharengus,235,125,,226000135124
2013/04/11,Alosa pseudoharengus,225,125,,226000135126
2013/04/11,Alosa pseudoharengus,219,150,,226000135128
2013/04/11,Alosa pseudoharengus,267,200,,226000135131
2013/04/11,Alosa pseudoharengus,254,200,,226000135134
2013/04/11,Alosa pseudoharengus,238,150,,226000135151
2013/04/11,Alosa pseudoharengus,236,200,,226000135171
2013/04/11,Alosa pseudoharengus,225,150,,226000135176
2013/04/11,Alosa pseudoharengus,245,200,,226000135177
2013/04/11,Alosa pseudoharengus,232,170,,226000135178
2013/04/16,Alosa pseudoharengus,229,125,,226000135146
2013/04/17,Alosa aestivalis,243,150,,226000135080
2013/04/17,Alosa aestivalis,242,125,,226000135082
2013/04/17,Alosa aestivalis,236,200,,226000135112
2013/04/17,Alosa aestivalis,226,150,,226000135132
2013/04/17,Alosa aestivalis,235,150,,226000135145
2013/04/17,Alosa aestivalis,256,175,,226000135147
2013/04/17,Alosa aestivalis,247,200,,226000135154
2013/04/17,Alosa aestivalis,223,125,,226000135155
2013/04/17,Alosa aestivalis,222,125,,226000135160
2013/04/17,Alosa aestivalis,252,175,,226000135165
2013/04/17,Alosa aestivalis,225,125,,226000135179
2013/04/18,Alosa aestivalis,234,200,,226000135091
2013/04/18,Alosa aestivalis,248,225,,226000135125
2013/04/18,Alosa aestivalis,225,225,,226000135138
2013/04/18,Alosa aestivalis,223,200,,226000135139
2013/04/18,Alosa aestivalis,235,200,,226000135143
2013/04/18,Alosa aestivalis,225,200,,226000135149
2013/04/18,Alosa aestivalis,219,175,,226000135152
2013/04/18,Alosa aestivalis,243,250,,226000135156
2013/04/18,Alosa aestivalis,221,175,,226000135159
2013/04/19,Alosa aestivalis,225,200,,226000135088
2013/04/19,Alosa aestivalis,225,200,,226000135153
2013/04/22,Alosa aestivalis,250,200,,226000135084
2013/04/22,Alosa aestivalis,310,320,,226000135104
2013/04/22,Alosa aestivalis,265,150,,226000135105
2013/04/22,Alosa aestivalis,270,260,,226000135167
2013/04/22,Alosa aestivalis,290,215,,226000135173
2013/04/22,Alosa pseudoharengus,320,305,,226000135141
2013/04/23,Alosa aestivalis,226,190,,226000135169
2013/04/24,Alosa aestivalis,234,220,,226000135174
2013/04/26,Alosa aestivalis,231,230,3,226000135093
2013/04/30,Alosa aestivalis,224,200,3,226000135107
2013/04/30,Alosa aestivalis,247,300,3,226000135116
2013/04/30,Alosa aestivalis,231,290,4,226000135101
2013/04/30,Alosa aestivalis,252,260,4,226000135102
2013/04/30,Alosa aestivalis,224,210,4,226000135110
2013/04/30,Alosa aestivalis,224,220,4,226000135150
2013/04/30,Alosa aestivalis,227,200,6,226000135133
2013/04/30,Alosa aestivalis,223,200,,226000135083
2013/04/30,Alosa aestivalis,216,190,,226000135086
2013/04/30,Alosa aestivalis,238,290,,226000135089
2013/04/30,Alosa aestivalis,231,250,,226000135095
2013/04/30,Alosa aestivalis,236,225,,226000135096
2013/04/30,Alosa aestivalis,216,190,,226000135099
2013/04/30,Alosa aestivalis,223,220,,226000135100
2013/04/30,Alosa aestivalis,215,190,,226000135108
2013/04/30,Alosa aestivalis,219,200,,226000135109
2013/04/30,Alosa aestivalis,245,310,,226000135111
2013/04/30,Alosa aestivalis,221,200,,226000135113
2013/04/30,Alosa aestivalis,219,150,,226000135118
2013/04/30,Alosa aestivalis,229,290,,226000135121
2013/04/30,Alosa aestivalis,229,250,,226000135122
2013/04/30,Alosa aestivalis,208,150,,226000135123
2013/04/30,Alosa aestivalis,236,220,,226000135127
2013/04/30,Alosa aestivalis,234,300,,226000135129
2013/04/30,Alosa aestivalis,245,300,,226000135130
2013/04/30,Alosa aestivalis,210,200,,226000135135
2013/04/30,Alosa aestivalis,221,190,,226000135136
2013/04/30,Alosa aestivalis,229,250,,226000135137
2013/04/30,Alosa aestivalis,220,210,,226000135140
2013/04/30,Alosa aestivalis,232,300,,226000135142
2013/04/30,Alosa aestivalis,229,200,,226000135144
2013/04/30,Alosa aestivalis,229,250,,226000135148
2013/04/30,Alosa aestivalis,231,220,,226000135157
2013/04/30,Alosa aestivalis,244,300,,226000135158
2013/04/30,Alosa aestivalis,230,220,,226000135161
2013/04/30,Alosa aestivalis,226,200,,226000135162
2013/04/30,Alosa aestivalis,242,290,,226000135163
2013/04/30,Alosa aestivalis,223,190,,226000135164
2013/04/30,Alosa aestivalis,243,290,,226000135166
2013/04/30,Alosa aestivalis,233,310,,226000135168
2013/04/30,Alosa aestivalis,226,200,,226000135170
2013/04/30,Alosa aestivalis,211,200,,226000135172
2013/04/30,Alosa aestivalis,230,225,,226000135175
2013/05/03,Alosa aestivalis,219,180,3,226000137590
2013/05/03,Alosa aestivalis,223,250,3,226000137591
2013/05/03,Alosa aestivalis,240,215,3,226000137599
2013/05/03,Alosa aestivalis,215,155,3,226000137614
2013/05/03,Alosa aestivalis,242,200,3,226000137619
2013/05/03,Alosa aestivalis,245,240,3,226000137629
2013/05/03,Alosa aestivalis,224,180,3,226000137634
2013/05/03,Alosa aestivalis,221,190,3,226000137673
2013/05/03,Alosa aestivalis,215,210,4,226000137582
2013/05/03,Alosa aestivalis,232,200,4,226000137583
2013/05/03,Alosa aestivalis,224,200,4,226000137588
2013/05/03,Alosa aestivalis,226,210,4,226000137602
2013/05/03,Alosa aestivalis,229,220,4,226000137612
2013/05/03,Alosa aestivalis,220,180,4,226000137618
2013/05/03,Alosa aestivalis,233,250,4,226000137624
2013/05/03,Alosa aestivalis,245,260,4,226000137627
2013/05/03,Alosa aestivalis,235,200,4,226000137631
2013/05/03,Alosa aestivalis,223,180,4,226000137633
2013/05/03,Alosa aestivalis,214,180,4,226000137641
2013/05/03,Alosa aestivalis,221,210,4,226000137643
2013/05/03,Alosa aestivalis,234,200,4,226000137646
2013/05/03,Alosa aestivalis,218,180,4,226000137648
2013/05/03,Alosa aestivalis,231,200,4,226000137655
2013/05/03,Alosa aestivalis,242,280,4,226000137656
2013/05/03,Alosa aestivalis,214,170,4,226000137660
2013/05/03,Alosa aestivalis,209,150,4,226000137663
2013/05/03,Alosa aestivalis,221,200,4,226000137667
2013/05/03,Alosa aestivalis,215,200,4,226000137671
2013/05/03,Alosa aestivalis,249,300,4,226000137672
2013/05/03,Alosa aestivalis,229,280,4,226000137677
2013/05/03,Alosa aestivalis,221,210,4,226000137678
2013/05/03,Alosa aestivalis,236,200,5,226000137593
2013/05/03,Alosa aestivalis,220,200,5,226000137622
2013/05/03,Alosa aestivalis,249,250,5,226000137623
2013/05/03,Alosa aestivalis,229,210,5,226000137630
2013/05/03,Alosa aestivalis,234,220,5,226000137669
2013/05/03,Alosa aestivalis,219,225,5,226000137679
2013/05/03,Alosa aestivalis,225,210,,226000137586
2013/05/03,Alosa aestivalis,219,220,,226000137610
2013/05/03,Alosa pseudoharengus,232,250,4,226000137603
2013/05/03,Alosa pseudoharengus,219,200,4,226000137653
2013/05/03,Alosa pseudoharengus,212,220,,226000137600
2013/05/07,Alosa aestivalis,244,290,,226000137626
2014/04/15,Alosa aestivalis,270,350,4,226000137659
2014/04/15,Alosa aestivalis,224,200,,226000137592
2014/04/15,Alosa aestivalis,245,300,,226000137594
2014/04/15,Alosa aestivalis,229,200,,226000137611
2014/04/15,Alosa aestivalis,236,200,,226000137615
2014/04/15,Alosa aestivalis,260,200,,226000137616
2014/04/15,Alosa pseudoharengus,230,300,,226000137621
2014/04/15,Alosa pseudoharengus,243,200,,226000137587
2014/04/16,Alosa pseudoharengus,250,200,4,226000137598
2014/04/16,Alosa pseudoharengus,252,350,4,226000137604
2014/04/16,Alosa pseudoharengus,226,250,4,226000137613
2014/04/16,Alosa pseudoharengus,240,400,4,226000137665
2014/04/16,Alosa pseudoharengus,258,300,4,226000137676
2014/04/16,Alosa pseudoharengus,215,200,,226000137670
2014/04/18,Alosa pseudoharengus,258,200,,226000137632
2014/04/18,Alosa pseudoharengus,258,200,,226000137638
2014/04/22,Alosa aestivalis,208,150,,226000137670
2014/04/23,Alosa aestivalis,225,175,,226000137611
2014/04/23,Alosa pseudoharengus,228,200,,226000137621
2014/04/24,Alosa aestivalis,230,100,,226000137628
2014/04/24,Alosa aestivalis,215,150,,226000137647
2014/04/25,Alosa aestivalis,217,100,,226000137642
2014/04/25,Alosa aestivalis,227,175,,226000137664
2014/04/25,Alosa aestivalis,239,200,,226000137666
2014/04/29,Alosa aestivalis,221,200,,226000137581
2014/04/29,Alosa aestivalis,223,175,,226000137595
2014/04/29,Alosa aestivalis,213,200,,226000137597
2014/04/29,Alosa aestivalis,212,200,,226000137601
2014/04/29,Alosa aestivalis,219,200,,226000137605
2014/04/29,Alosa aestivalis,225,150,,226000137607
2014/04/29,Alosa aestivalis,213,200,,226000137608
2014/04/29,Alosa aestivalis,223,200,,226000137650
2014/04/29,Alosa aestivalis,237,225,,226000137661
2014/04/29,Alosa aestivalis,218,150,,226000137662
2014/04/29,Alosa aestivalis,213,200,,226000137668
2014/04/29,Alosa pseudoharengus,235,175,,226000137596
2014/04/29,Alosa pseudoharengus,231,175,,226000137620
2014/04/29,Alosa pseudoharengus,250,200,,226000137635
2014/04/29,Alosa pseudoharengus,240,225,,226000137639
2014/04/29,Alosa pseudoharengus,207,175,,226000137640
2014/05/08,Alosa aestivalis,215,150,3,226000137585
2014/05/08,Alosa aestivalis,125,100,3,226000137589
2014/05/08,Alosa aestivalis,213,100,3,226000137609
2014/05/08,Alosa aestivalis,210,100,3,226000137617
2014/05/08,Alosa aestivalis,205,125,3,226000137625
2014/05/08,Alosa aestivalis,215,200,3,226000137645
2014/05/08,Alosa aestivalis,210,100,3,226000137654
2014/05/08,Alosa aestivalis,203,100,3,226000137674
2014/05/08,Alosa aestivalis,220,200,3,226000140980
2014/05/08,Alosa aestivalis,200,150,3,226000140989
2014/05/08,Alosa aestivalis,190,100,3,226000140999
